sn	wn	word	frequency	rv100	sp100	spm	spu	len	distance	freq.class	spu.class	rv100.class
44	7	der	33429	372	0.69052	6.498	3.44206	3	NA	5	3	2
44	8	Journalisten	NA	NA	NA	NA	0.65472	13	NA	NA	1	NA
45	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
45	2	Insel	59	197	0	6.61735	1.17345	5	NA	2	2	1
45	3	ist	6985	396	0	6.58696	2.72814	3	NA	4	3	2
45	4	nur	2549	429	0.0602	10.68483	2.90281	3	NA	4	3	3
45	5	mit	8136	396	0.37051	5.96942	1.76135	3	NA	4	2	2
45	6	dem	6578	345	0.81582	6.36081	1.94276	3	NA	4	2	2
45	7	Flugzeug	25	219	1.12776	6.63445	0.71602	8	NA	2	1	1
45	8	zu	9469	474	0.86026	6.58696	1.92948	2	NA	4	2	3
45	9	erreichen	NA	NA	NA	NA	4.18389	10	NA	NA	4	NA
46	1	Es	NA	NA	NA	NA	4.5595	2	NA	NA	4	NA
46	2	sollte	371	197	0	6.53992	2.99149	6	NA	3	3	1
46	3	mehr	1792	396	0	10.41565	1.94074	4	NA	4	2	2
46	4	Strom	42	352	0.11688	5.64475	4.46807	5	NA	2	4	2
46	5	mit	8136	197	0.57641	6.498	1.86488	3	NA	4	2	1
46	6	Solarenergie	3	197	1.08582	6.45806	2.83189	12	NA	1	3	1
46	7	erzeugt	19	219	2.04686	6.61166	3.54912	7	NA	2	4	1
46	8	werden	NA	NA	NA	NA	3.98982	7	NA	NA	4	NA
47	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
47	2	monotone	2	197	0	6.61735	2.62851	8	NA	1	3	1
47	3	Arbeit	323	396	0	6.60187	0.20275	6	NA	3	1	2
47	4	machte	146	396	0.11075	6.42835	2.39904	6	NA	3	3	2
47	5	den	12013	345	0.41178	14.76726	2.38967	3	NA	5	3	2
47	6	Angestellten	26	372	0.79071	6.54856	0.8944	12	NA	2	1	2
47	7	keinen	266	423	0.76994	6.58696	7.38122	6	NA	3	5	3
47	8	Spaß	NA	NA	NA	NA	0.79558	5	NA	NA	1	NA
48	1	In	NA	NA	NA	NA	2.42343	2	NA	NA	3	NA
48	2	dem	6578	197	0	6.59812	2.01459	3	NA	4	3	1
48	3	kleinen	201	396	0	6.63445	2.11387	7	NA	3	3	2
48	4	Zimmer	44	406	0.12283	6.60187	0.20439	6	NA	2	1	3
48	5	standen	63	269	0.72342	6.42835	2.43947	7	NA	2	3	2
48	6	viel	430	345	0.9697	14.76726	3.32988	4	NA	3	3	2
48	7	zu	9469	197	1.27119	4.85287	2.25655	2	NA	4	3	1
48	8	viele	402	345	1.2056	9.23581	5.10435	5	NA	3	5	2
48	9	Möbel	NA	NA	NA	NA	1.13615	6	NA	NA	2	NA
49	1	Das	NA	NA	NA	NA	2.47204	3	NA	NA	3	NA
49	2	Fenster	49	197	0	6.61735	0.78317	7	NA	2	1	1
49	3	im	6748	396	0	6.58696	2.76816	2	NA	4	3	2
49	4	Flur	8	396	0.0999	6.52096	1.85586	4	NA	1	2	2
49	5	klemmt	2	483	0.3594	6.62155	2.68305	6	NA	1	3	3
49	6	seit	789	394	0.7813	10.44692	2.40662	4	NA	3	3	2
49	7	ein	5821	219	0.83045	6.55093	1.09221	3	NA	4	2	1
49	8	paar	151	423	1.26831	6.63445	7.26167	4	NA	3	5	3
49	9	Tagen	NA	NA	NA	NA	0.62333	6	NA	NA	1	NA
50	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
50	2	Sekretärin	8	197	0	6.61735	1.17345	10	NA	1	2	1
50	3	informierte	8	396	0	6.58696	2.32161	11	NA	1	3	2
50	4	den	12013	429	0.04254	10.59239	2.43822	3	NA	5	3	3
50	5	Kanzler	45	423	0.31427	6.54856	0.90248	7	NA	2	1	3
50	6	erst	508	423	0.49415	6.58696	4.4322	4	NA	3	4	3
50	7	am	2849	445	0.74864	9.02409	1.58503	2	NA	4	2	3
50	8	nächsten	245	396	1.17581	6.4932	3.13675	8	NA	3	3	2
50	9	Morgen	NA	NA	NA	NA	0.19806	7	NA	NA	1	NA
51	1	Vielleicht	NA	NA	NA	NA	3.75637	10	NA	NA	4	NA
51	2	gibt	748	197	0	6.60087	2.15541	4	NA	3	3	1
51	3	es	4589	396	0	10.75555	1.65516	2	NA	4	2	2
51	4	bald	150	396	0.12631	5.43487	2.89752	4	NA	3	3	2
51	5	im	6748	423	0.74552	4.27103	1.69511	2	NA	4	2	3
51	6	Dezember	181	197	1.3265	6.4932	1.84647	8	NA	3	2	1
51	7	Ostereier	2	197	2.132	6.62155	5.3638	9	NA	1	5	1
51	8	zu	9469	219	2.07084	3.94882	1.78275	2	NA	4	2	1
51	9	kaufen	NA	NA	NA	NA	7.61038	7	NA	NA	5	NA
52	1	Das	NA	NA	NA	NA	2.47204	3	NA	NA	3	NA
52	2	kleine	162	197	0	6.61735	2.25981	6	NA	3	3	1
52	3	Unternehmen	381	396	0	6.60187	0.20136	11	NA	3	1	2
52	4	konnte	367	396	0.10186	6.42835	4.40824	6	NA	3	4	2
52	5	sich	7603	636	0.30788	13.93322	3.39564	4	NA	4	3	3
52	6	die	30483	345	1.60372	6.02611	3.37969	3	NA	5	3	2
52	7	teure	19	219	1.59511	6.47281	2.26266	5	NA	2	3	1
52	8	Maschine	29	474	1.23349	6.60187	0.2013	8	NA	2	1	3
52	9	nicht	7078	219	1.61143	6.42835	3.47224	5	NA	4	3	1
52	10	leisten	NA	NA	NA	NA	6.4252	8	NA	NA	5	NA
53	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
53	2	Franzose	10	197	0	6.61735	1.17345	8	NA	2	2	1
53	3	gewann	52	396	0	6.58696	2.42056	6	NA	2	3	2
53	4	gegen	1429	429	0.05892	10.59239	1.5833	5	NA	4	2	3
53	5	den	12013	396	0.2053	6.55093	1.42395	3	NA	5	2	2
53	6	Belgier	NA	NA	NA	NA	1.00394	8	NA	NA	1	NA
54	1	Jan	NA	NA	NA	NA	3.77039	3	NA	NA	4	NA
54	2	hat	3572	197	0	6.58823	3.64805	3	NA	4	4	1
54	3	sich	7603	396	0	10.77865	4.66521	4	NA	4	4	2
54	4	zum	2402	396	0.01456	6.50252	3.81377	3	NA	4	4	2
54	5	dritten	87	396	0.18285	6.30558	2.60769	7	NA	2	3	2
54	6	Mal	159	396	0.64252	6.44391	0.15853	3	NA	3	1	2
54	7	die	30483	372	1.06415	6.42835	3.96194	3	NA	5	4	2
54	8	Schulter	16	445	1.25111	6.56709	0.68444	8	NA	2	1	3
54	9	ausgekugelt	NA	NA	NA	NA	2.8378	12	NA	NA	3	NA
55	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
55	2	Bischof	29	197	0	6.61735	1.17345	7	NA	2	2	1
55	3	erschien	42	396	0	6.58696	2.42056	8	NA	2	3	2
55	4	mit	8136	429	0.05627	10.59239	1.40225	3	NA	4	2	3
55	5	seinem	574	396	0.23661	6.55093	5.66747	6	NA	3	5	2
55	6	neuen	663	345	0.58353	6.59818	2.41892	5	NA	3	3	2
55	7	Sekretär	15	355	0.78917	6.37629	0.16824	8	NA	2	1	2
55	8	auf	7037	616	1.00551	6.42835	1.69247	3	NA	4	2	3
55	9	der	33429	219	1.39194	6.45806	1.725	3	NA	5	2	1
55	10	Konferenz	NA	NA	NA	NA	0.71847	10	NA	NA	1	NA
56	1	Das	NA	NA	NA	NA	2.47204	3	NA	NA	3	NA
56	2	Schicksal	56	197	0	6.61735	0.78317	9	NA	2	1	1
56	3	führte	96	396	0	6.58696	2.40858	6	NA	2	3	2
56	4	die	30483	429	0.04254	10.59239	2.47883	3	NA	5	3	3
56	5	Freunde	64	423	0.31427	6.54856	0.76193	7	NA	2	1	3
56	6	wieder	1101	423	0.49415	6.58696	3.05916	6	NA	4	3	3
56	7	zusammen	NA	NA	NA	NA	3.72698	9	NA	NA	4	NA
57	1	Vor	NA	NA	NA	NA	3.15662	3	NA	NA	3	NA
57	2	Gericht	119	197	0	6.59812	2.43514	7	NA	3	3	1
57	3	wurde	1634	396	0	6.61166	2.9141	5	NA	4	3	2
57	4	die	30483	345	0.17385	10.18502	1.56503	3	NA	5	2	2
57	5	Situation	133	396	0.61528	6.62023	0.76343	9	NA	3	1	2
57	6	nachgestellt	NA	NA	NA	NA	5.72341	13	NA	NA	5	NA
58	1	Das	NA	NA	NA	NA	2.47204	3	NA	NA	3	NA
58	2	Wetter	35	197	0	6.61735	0.68564	6	NA	2	1	1
58	3	im	6748	396	0	6.58696	2.84037	2	NA	4	3	2
58	4	September	206	396	0.0999	6.52096	1.85877	9	NA	3	2	2
58	5	spielte	47	483	0.34716	6.62155	2.68603	7	NA	2	3	3
58	6	verrückt	NA	NA	NA	NA	4.89302	9	NA	NA	4	NA
59	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
59	2	diesjährige	7	197	0	6.61735	2.62851	11	NA	1	3	1
59	3	Konferenz	64	396	0	6.60187	0.20275	9	NA	2	1	2
59	4	der	33429	396	0.08538	6.42835	3.78466	3	NA	5	4	2
59	5	Wissenschaftler	53	423	0.5223	6.56709	0.65465	15	NA	2	1	3
59	6	dauerte	17	527	1.01832	6.58696	2.86766	7	NA	2	3	3
59	7	vier	403	449	0.7773	10.59239	6.48523	4	NA	3	5	3
59	8	Tage	NA	NA	NA	NA	0.97782	5	NA	NA	1	NA
60	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
60	2	Hirte	2	197	0	6.61735	1.17345	5	NA	1	2	1
60	3	wanderte	4	396	0	6.58696	2.42056	8	NA	1	3	2
60	4	mehrere	129	429	0.03918	10.59239	4.76694	7	NA	3	4	3
60	5	Kilometer	103	345	0.30453	6.14262	0.54061	9	NA	3	1	2
60	6	durch	1880	423	0.50675	6.498	1.49002	5	NA	4	2	3
60	7	die	30483	197	0.88236	6.45806	1.92204	3	NA	5	2	1
60	8	Wüste	NA	NA	NA	NA	0.76031	6	NA	NA	1	NA
61	1	Yvonne	NA	NA	NA	NA	3.77039	6	NA	NA	4	NA
61	2	trat	68	197	0	6.58823	2.43491	4	NA	2	3	1
61	3	unglücklicherweise	2	396	0	10.91721	3.43464	18	NA	1	3	2
61	4	auf	7037	345	0.13046	6.64564	1.44405	3	NA	4	2	2
61	5	eine	5526	345	0.7199	6.64564	1.22805	4	NA	4	2	2
61	6	Tube	2	313	1.27868	6.63445	0.63969	4	NA	1	1	2
61	7	Klebstoff	NA	NA	NA	NA	4.70153	10	NA	NA	4	NA
62	1	Manuela	NA	NA	NA	NA	3.77039	7	NA	NA	4	NA
62	2	reagiert	33	197	0	6.58823	2.42912	8	NA	2	3	1
62	3	auf	7037	396	0	10.91721	1.63468	3	NA	4	2	2
62	4	Senf	3	345	0.11399	6.55093	2.9176	4	NA	1	3	2
62	5	allergisch	NA	NA	NA	NA	6.29902	11	NA	NA	5	NA
63	1	Martins	NA	NA	NA	NA	3.77039	7	NA	NA	4	NA
63	2	gebrochener	2	197	0	6.58823	7.87304	11	NA	1	5	1
63	3	Zeh	2	396	0	10.12827	0.38137	3	NA	1	1	2
63	4	schwoll	2	423	0.15507	6.42835	2.588	7	NA	1	3	3
63	5	rasch	49	394	0.53033	14.75461	4.82181	5	NA	2	4	2
63	6	an	NA	NA	NA	NA	1.51742	3	NA	NA	2	NA
64	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
64	2	alte	197	197	0	6.61735	2.62851	4	NA	3	3	1
64	3	Kapitän	22	396	0	6.60187	0.20275	7	NA	2	1	2
64	4	goß	2	396	0.11075	6.42835	2.39904	3	NA	1	3	2
64	5	stets	106	378	0.36427	14.76726	3.12369	5	NA	3	3	2
64	6	ein	5821	345	0.87589	4.85287	1.50846	3	NA	4	2	2
64	7	wenig	301	372	1.27827	5.85431	3.61705	5	NA	3	4	2
64	8	Rum	3	445	1.16583	13.45504	3.39888	3	NA	1	3	3
64	9	in	17286	219	1.8657	6.498	1.81015	2	NA	5	2	1
64	10	seinen	690	197	2.13507	6.45806	5.66411	6	NA	3	5	1
64	11	Tee	NA	NA	NA	NA	0.45068	4	NA	NA	1	NA
65	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
65	2	schmale	8	197	0	6.61735	2.62851	7	NA	1	3	1
65	3	Öse	1	396	0	6.60187	0.20275	3	NA	1	1	2
65	4	ist	6985	396	0.08169	6.42835	2.73934	3	NA	4	3	2
65	5	zu	9469	913	0.20016	14.94408	1.61787	2	NA	4	2	3
65	6	klein	34	411	0.98522	5.36449	4.06939	5	NA	2	4	3
65	7	für	6680	667	0.52534	10.09859	4.02607	3	NA	4	4	3
65	8	den	12013	197	1.09106	6.3116	0.89183	3	NA	5	1	1
65	9	Faden	NA	NA	NA	NA	0.98239	6	NA	NA	1	NA
66	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
66	2	Tänzer	11	197	0	6.61735	1.17345	6	NA	2	2	1
66	3	probten	2	396	0	6.58696	2.42056	7	NA	1	3	2
66	4	ihre	1201	429	0.03918	10.59239	6.59846	4	NA	4	5	3
66	5	Kür	5	345	0.30441	5.76115	0.34745	3	NA	1	1	2
66	6	besonders	252	423	0.53377	6.62796	4.38678	9	NA	3	4	3
66	7	intensiv	NA	NA	NA	NA	3.80258	9	NA	NA	4	NA
67	1	Nach	NA	NA	NA	NA	2.42555	4	NA	NA	3	NA
67	2	dem	6578	197	0	6.59812	1.8169	3	NA	4	2	1
67	3	Streit	87	396	0	6.63445	0.72635	6	NA	2	1	2
67	4	schien	61	406	0.15824	6.58696	2.73501	6	NA	2	3	3
67	5	alles	451	585	0.31235	10.59239	4.86121	5	NA	3	4	3
67	6	wieder	1101	345	0.88244	5.74626	3.01241	6	NA	4	3	2
67	7	im	6748	345	1.18946	3.92507	2.24238	2	NA	4	3	2
67	8	Lot	3	219	1.18314	6.36081	1.84742	3	NA	1	2	1
67	9	zu	9469	474	1.66606	6.61166	1.71786	2	NA	4	2	3
67	10	sein	NA	NA	NA	NA	5.49203	5	NA	NA	5	NA
68	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
68	2	frisch	21	197	0	6.61735	5.88256	6	NA	2	5	1
68	3	gekochte	1	396	0	6.40369	2.55971	8	NA	1	3	2
68	4	Brei	3	474	0.09148	10.8276	0.73147	4	NA	1	1	3
68	5	war	2482	394	0.81928	6.42835	2.92433	3	NA	4	3	2
68	6	noch	2804	444	1.29469	15.0602	2.96015	4	NA	4	3	3
68	7	zu	9469	197	1.33341	5.96942	1.59852	2	NA	4	2	1
68	8	heiß	NA	NA	NA	NA	3.72342	5	NA	NA	4	NA
69	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
69	2	Schneiderin	2	197	0	6.61735	1.17345	11	NA	1	2	1
69	3	steckte	10	396	0	6.58696	2.42056	7	NA	1	3	2
69	4	die	30483	429	0.04254	10.59239	2.50285	3	NA	5	3	3
69	5	Naht	2	423	0.31427	6.54856	0.76195	4	NA	1	1	3
69	6	sorgfältig	19	423	0.51812	6.58696	5.63192	10	NA	2	5	3
69	7	ab	NA	NA	NA	NA	1.35429	3	NA	NA	2	NA
70	1	Auf	NA	NA	NA	NA	2.60437	3	NA	NA	3	NA
70	2	dem	6578	197	0	6.59812	1.75349	3	NA	4	2	1
70	3	höchsten	41	396	0	6.63445	2.05813	8	NA	2	3	2
70	4	Mast	3	406	0.12283	6.60187	0.25916	4	NA	1	1	3
70	5	hielt	91	269	0.71427	6.42835	2.45888	5	NA	2	3	2
70	6	der	33429	197	1.02077	14.76726	1.85774	3	NA	5	2	1
70	7	Pirat	1	372	0.94536	6.54856	0.68191	5	NA	1	1	2
70	8	Wache	NA	NA	NA	NA	4.7751	6	NA	NA	4	NA
71	1	Claudia	NA	NA	NA	NA	3.77039	7	NA	NA	4	NA
71	2	kann	1297	197	0	6.58823	5.03603	4	NA	4	4	1
71	3	Salatsaucen	1	396	0	10.3063	4.43101	11	NA	1	4	2
71	4	mit	8136	738	0.12946	6.44739	2.14816	3	NA	4	3	3
71	5	viel	430	394	0.81291	6.45806	4.31918	4	NA	3	4	2
71	6	Essig	3	345	1.99192	6.42414	2.03506	5	NA	1	3	2
71	7	nicht	7078	697	0.47652	6.498	5.75268	5	NA	4	5	3
71	8	ausstehen	NA	NA	NA	NA	5.64091	10	NA	NA	5	NA
72	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
72	2	Torte	2	197	0	6.61735	1.17345	5	NA	1	2	1
72	3	erwies	17	396	0	6.58696	2.42056	6	NA	2	3	2
72	4	sich	7603	636	0.03428	10.59239	2.98538	4	NA	4	3	3
72	5	als	5074	396	0.30148	5.16	1.5302	3	NA	4	2	2
72	6	ein	5821	396	0.59138	6.48991	1.10067	3	NA	4	2	2
72	7	wahrer	5	219	0.96314	6.63445	2.26829	6	NA	1	3	1
72	8	Leckerbissen	NA	NA	NA	NA	0.20769	13	NA	NA	1	NA
73	1	Sie	NA	NA	NA	NA	4.5595	3	NA	NA	4	NA
73	2	machten	56	197	0	6.53992	1.03807	7	NA	2	2	1
73	3	einen	2495	396	0	10.96376	2.05085	5	NA	4	3	2
73	4	Spaziergang	8	352	0.16235	6.54856	0.64349	11	NA	1	1	2
73	5	am	2849	345	0.48582	6.58696	1.93798	2	NA	4	2	2
73	6	Deich	3	345	1.14779	6.52096	2.05122	5	NA	1	3	2
73	7	entlang	NA	NA	NA	NA	2.68775	8	NA	NA	3	NA
74	1	Ulf	NA	NA	NA	NA	3.77039	3	NA	NA	4	NA
74	2	hat	3572	197	0	6.58823	3.64805	3	NA	4	4	1
74	3	schon	1254	396	0	10.77865	2.95895	5	NA	4	3	2
74	4	wieder	1101	396	0.13129	5.96942	2.86125	6	NA	4	3	2
74	5	eine	5526	423	0.94033	9.81307	1.6318	4	NA	4	2	3
74	6	Niete	1	445	1.59873	5.85431	1.07866	5	NA	1	2	3
74	7	gezogen	NA	NA	NA	NA	3.93417	8	NA	NA	4	NA
75	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
75	2	Giebel	3	197	0	6.61735	1.17345	6	NA	1	2	1
75	3	des	7866	396	0	6.58696	2.84717	3	NA	4	3	2
75	4	alten	263	423	0.0875	6.56709	2.71503	5	NA	3	3	3
75	5	Hauses	45	692	0.42755	6.60187	0.2042	6	NA	2	1	3
75	6	drohte	20	579	0.8416	6.42835	2.81524	6	NA	2	3	3
75	7	einzustürzen	NA	NA	NA	NA	11.49093	13	NA	NA	5	NA
76	1	Das	NA	NA	NA	NA	2.47204	3	NA	NA	3	NA
76	2	Karamellbonbon	1	197	0	6.61735	0.78317	14	NA	1	1	1
76	3	blieb	133	396	0	6.58696	2.40858	5	NA	3	3	2
76	4	Julia	13	429	0.04238	10.59239	5.19199	5	NA	2	5	3
76	5	am	2849	423	0.29244	5.20394	0.99163	2	NA	4	1	3
76	6	Gaumen	2	445	0.61169	11.11634	2.68846	6	NA	1	3	3
76	7	kleben	NA	NA	NA	NA	9.42348	7	NA	NA	5	NA
77	1	Tamara	NA	NA	NA	NA	3.77039	6	NA	NA	4	NA
77	2	führte	96	197	0	6.58823	2.43491	6	NA	2	3	1
77	3	mit	8136	396	0	10.91721	1.57409	3	NA	4	2	2
77	4	der	33429	345	0.1237	6.55093	1.80431	3	NA	5	2	2
77	5	Hebamme	3	301	0.55764	6.63445	0.7151	7	NA	1	1	2
77	6	mehrere	129	372	0.90677	6.58696	4.91195	7	NA	3	4	2
77	7	Gespräche	NA	NA	NA	NA	0.36329	10	NA	NA	1	NA
78	1	Nach	NA	NA	NA	NA	2.42555	4	NA	NA	3	NA
78	2	der	33429	197	0	6.59812	1.8169	3	NA	5	2	1
78	3	Trauung	3	396	0	6.63445	0.72635	7	NA	1	1	2
78	4	wartete	11	406	0.15211	6.58696	2.73501	7	NA	2	3	3
78	5	eine	5526	378	0.37556	10.59239	1.50371	4	NA	4	2	2
78	6	Kutsche	3	372	0.74217	6.54856	0.67848	7	NA	1	1	2
78	7	vor	2556	423	0.94253	6.58696	1.58508	3	NA	4	2	3
78	8	der	33429	219	0.92863	6.45806	1.64413	3	NA	5	2	1
78	9	Kirche	NA	NA	NA	NA	0.71761	7	NA	NA	1	NA
79	1	Robert	NA	NA	NA	NA	3.77039	6	NA	NA	4	NA
79	2	ließ	177	197	0	6.58823	2.43491	4	NA	3	3	1
79	3	sich	7603	396	0	10.91721	3.55729	4	NA	4	4	2
79	4	den	12013	396	0.06927	5.43487	3.9602	3	NA	5	4	2
79	5	Schinken	3	396	0.57814	6.57317	0.90644	8	NA	1	1	2
79	6	in	17286	219	1.14372	6.58696	1.88666	2	NA	5	2	1
79	7	Scheiben	10	197	0.98258	6.45806	1.77591	8	NA	1	2	1
79	8	schneiden	NA	NA	NA	NA	7.04125	10	NA	NA	5	NA
80	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
80	2	Kinder	316	197	0	6.61735	1.17345	6	NA	3	2	1
80	3	hüpften	1	396	0	6.58696	2.09792	7	NA	1	3	2
80	4	auf	7037	429	0.05892	10.59239	1.84449	3	NA	4	2	3
80	5	der	33429	396	0.20725	6.55093	1.74098	3	NA	5	2	2
80	6	alten	263	377	0.53983	6.63445	2.11131	5	NA	3	3	2
80	7	Matratze	3	572	0.76198	6.60187	0.20616	8	NA	1	1	3
80	8	herum	NA	NA	NA	NA	3.48737	6	NA	NA	4	NA
81	1	Laura	NA	NA	NA	NA	3.77039	5	NA	NA	4	NA
81	2	stellte	112	197	0	6.58823	2.43491	7	NA	3	3	1
81	3	eine	5526	396	0	10.91721	2.29917	4	NA	4	3	2
81	4	Schüssel	6	396	0.15211	6.54856	4.8014	8	NA	1	4	2
81	5	Kirschen	3	616	0.44338	6.58696	5.26463	8	NA	1	5	3
81	6	auf	7037	505	1.05427	3.94882	2.36302	3	NA	4	3	3
81	7	den	12013	197	1.3015	6.45806	1.44441	3	NA	5	2	1
81	8	Tisch	NA	NA	NA	NA	0.88509	6	NA	NA	1	NA
82	1	Das	NA	NA	NA	NA	2.47204	3	NA	NA	3	NA
82	2	entscheidende	30	197	0	6.61735	2.25981	13	NA	2	3	1
82	3	Telefonat	3	396	0	6.60187	0.20136	9	NA	1	1	2
82	4	verzögerte	3	396	0.11075	6.42835	6.49682	10	NA	1	5	2
82	5	sich	NA	NA	NA	NA	9.94696	5	NA	NA	5	NA
83	1	Mandy	NA	NA	NA	NA	3.77039	5	NA	NA	4	NA
83	2	aß	3	197	0	6.58823	2.43491	2	NA	1	3	1
83	3	die	30483	396	0	10.91721	2.59869	3	NA	5	3	2
83	4	Mandarine	1	396	0.15211	6.54856	0.74362	9	NA	1	1	2
83	5	sofort	114	372	0.51123	6.58696	4.959	6	NA	3	4	2
83	6	auf	NA	NA	NA	NA	1.21265	4	NA	NA	2	NA
84	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
84	2	Teppich	9	197	0	6.61735	1.17345	7	NA	1	2	1
84	3	mit	8136	396	0	6.58696	2.76101	3	NA	4	3	2
84	4	dem	6578	396	0.08621	6.45806	1.44298	3	NA	4	2	2
84	5	Schnörkel	2	381	0.4066	6.63445	0.62121	9	NA	1	1	2
84	6	gefiel	7	486	0.7688	6.58696	2.83603	6	NA	1	3	3
84	7	Bettina	9	394	0.91999	10.59239	5.33262	7	NA	1	5	2
84	8	nicht	NA	NA	NA	NA	6.14786	6	NA	NA	5	NA
85	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
85	2	majestätische	1	197	0	6.61735	2.62851	13	NA	1	3	1
85	3	Gletscher	4	396	0	6.60187	0.20275	9	NA	1	1	2
85	4	wurde	1634	396	0.1061	6.42835	2.73934	5	NA	4	3	2
85	5	schon	1254	396	0.42005	14.94408	2.9081	5	NA	4	3	2
85	6	oft	232	396	1.04794	5.96942	2.74977	3	NA	3	3	2
85	7	bestiegen	NA	NA	NA	NA	3.88076	10	NA	NA	4	NA
86	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
86	2	Großvater	11	197	0	6.61735	1.17345	9	NA	2	2	1
86	3	fand	122	396	0	6.58696	2.42056	4	NA	3	3	2
86	4	in	17286	429	0.05627	10.59239	0.99852	2	NA	5	1	3
86	5	seinem	574	396	0.23444	6.55093	6.08336	6	NA	3	5	2
86	6	Pantoffel	1	345	0.54021	6.59818	0.43908	9	NA	1	1	2
86	7	eine	5526	372	0.68511	6.62796	3.28522	4	NA	4	3	2
86	8	Wäscheklammer	NA	NA	NA	NA	0.57337	14	NA	NA	1	NA
87	1	Johannes	NA	NA	NA	NA	3.77039	8	NA	NA	4	NA
87	2	wollte	267	197	0	6.58823	5.03603	6	NA	3	4	1
87	3	unbedingt	52	396	0	10.3063	2.53516	9	NA	2	3	2
87	4	Karussell	3	429	0.1451	6.41467	5.21794	9	NA	1	5	3
87	5	fahren	NA	NA	NA	NA	2.58637	7	NA	NA	3	NA
88	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
88	2	Olympiade	3	197	0	6.61735	1.17345	9	NA	1	2	1
88	3	findet	169	396	0	6.58696	2.42056	6	NA	3	3	2
88	4	dieses	492	636	0.00918	10.59239	6.51579	6	NA	3	5	3
88	5	Jahr	847	345	0.31022	6.04359	1.70823	4	NA	3	2	2
88	6	in	17286	423	0.53626	6.54373	1.80775	2	NA	5	2	3
88	7	Australien	37	197	0.90204	6.45806	3.33582	10	NA	2	3	1
88	8	statt	NA	NA	NA	NA	2.02884	6	NA	NA	3	NA
89	1	Sonja	NA	NA	NA	NA	3.77039	5	NA	NA	4	NA
89	2	kam	292	197	0	6.58823	2.43491	3	NA	3	3	1
89	3	als	5074	396	0	10.91721	2.28901	3	NA	4	3	2
89	4	Einzige	4	345	0.11399	6.55093	3.84068	7	NA	1	4	2
89	5	pünktlich	NA	NA	NA	NA	10.07018	10	NA	NA	5	NA
90	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
90	2	alte	197	197	0	6.61735	2.62851	4	NA	3	3	1
90	3	Mann	382	396	0	6.60187	0.16084	4	NA	3	1	2
90	4	zog	69	396	0.11075	6.42835	2.39672	3	NA	2	3	2
90	5	einen	2495	345	0.41178	14.76726	2.27469	5	NA	4	3	2
90	6	Karren	4	372	0.79071	6.54856	0.64441	6	NA	1	1	2
90	7	zum	2402	423	0.75738	6.58696	4.4845	3	NA	4	4	3
90	8	Marktplatz	NA	NA	NA	NA	0.51039	11	NA	NA	1	NA
91	1	Keiner	NA	NA	NA	NA	7.07217	6	NA	NA	5	NA
91	2	wußte	54	296	0	8.61949	2.27185	6	NA	2	3	2
91	3	was	972	636	0.04032	6.01103	3.97931	3	NA	3	4	3
91	4	zu	9469	352	0.48991	6.30465	1.92745	2	NA	4	2	2
91	5	tun	234	405	1.05201	9.77971	4.95876	3	NA	3	4	3
91	6	war	NA	NA	NA	NA	3.55251	4	NA	NA	4	NA
92	1	Heute	NA	NA	NA	NA	3.75637	5	NA	NA	4	NA
92	2	morgen	68	197	0	6.60087	3.59965	6	NA	2	4	1
92	3	saß	35	474	0	10.12114	2.42688	3	NA	2	3	3
92	4	auf	7037	445	0.16482	10.61428	3.27999	3	NA	4	3	3
92	5	unserer	148	655	0.6076	6.55093	5.30845	7	NA	3	5	3
92	6	Terrasse	6	345	1.24714	6.59818	0.40656	8	NA	1	1	2
92	7	ein	5821	197	1.34768	6.62796	1.81555	3	NA	4	2	1
92	8	Frosch	NA	NA	NA	NA	1.24429	7	NA	NA	2	NA
93	1	Der	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
93	2	Wandersmann	1	197	0	6.61735	1.0557	11	NA	1	2	1
93	3	bat	19	396	0	6.58696	2.41837	3	NA	2	3	2
