sn	wn	word	frequency	rv100	sp100	spm	spu	len	distance	freq.class	spu.class	rv100.class
10	8	sollen	490	464	0.31493	5.42192	2.37402	7	NA	3	3	3
10	9	ob	449	197	1.04788	6.64564	2.49563	2	NA	3	3	1
10	10	ihr	753	197	1.34858	6.62379	3.19084	3	NA	3	3	1
10	11	kommt	NA	NA	NA	NA	5.2359	6	NA	NA	5	NA
11	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
11	2	Eltern	127	197	0	6.61735	1.17345	6	NA	3	2	1
11	3	konnten	153	396	0	6.58696	4.44217	7	NA	3	4	2
11	4	ihre	1201	429	0.04806	10.68483	6.99231	4	NA	4	5	3
11	5	Kinder	316	396	0.37006	6.23016	0.35116	6	NA	3	1	2
11	6	im	6748	423	0.69915	6.62796	1.94431	2	NA	4	2	3
11	7	Garten	36	197	0.8112	6.52096	1.85822	6	NA	2	2	1
11	8	raufen	2	241	1.31623	6.62155	11.03674	6	NA	1	5	1
11	9	hören	NA	NA	NA	NA	9.20361	6	NA	NA	5	NA
12	1	Er	NA	NA	NA	NA	4.5595	2	NA	NA	4	NA
12	2	hätte	354	197	0	6.53992	1.60151	5	NA	3	2	1
12	3	nicht	7078	396	0	10.74673	5.45851	5	NA	4	5	2
12	4	auch	4982	352	0.10862	5.90474	1.94302	4	NA	4	2	2
12	5	noch	2804	345	0.66533	10.08269	3.4053	4	NA	4	3	2
12	6	am	2849	219	1.39137	9.68893	2.9103	2	NA	4	3	1
12	7	Telefon	43	197	2.30516	6.4932	1.90229	7	NA	2	2	1
12	8	nörgeln	1	197	2.42245	6.62155	3.34217	7	NA	1	3	1
12	9	sollen	NA	NA	NA	NA	5.72094	7	NA	NA	5	NA
13	1	Wegen	NA	NA	NA	NA	2.60437	5	NA	NA	3	NA
13	2	ihrer	750	197	0	6.59812	5.1222	5	NA	3	5	1
13	3	Diät	3	396	0	6.59818	0.77337	4	NA	1	1	2
13	4	hatte	1531	396	0.17774	6.62796	2.54981	5	NA	4	3	2
13	5	die	30483	378	0.55137	12.02535	1.59664	3	NA	5	2	2
13	6	Gräfin	8	345	1.44875	6.62023	0.6636	6	NA	1	1	2
13	7	leider	57	219	1.06576	6.58696	3.59277	6	NA	2	4	1
13	8	keine	900	197	1.18601	9.02409	5.3183	5	NA	3	5	1
13	9	Auster	2	197	1.41957	13.63015	2.09572	6	NA	1	3	1
13	10	nehmen	193	241	2.50285	6.498	4.14837	6	NA	3	4	1
13	11	dürfen	NA	NA	NA	NA	6.69433	7	NA	NA	5	NA
14	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
14	2	meisten	195	197	0	6.61735	5.02372	7	NA	3	4	1
14	3	Hamster	2	396	0	9.25623	2.41534	7	NA	1	3	2
14	4	bleiben	230	396	0.12229	6.498	2.1172	7	NA	3	3	2
14	5	bei	2956	429	0.40505	9.88174	2.67724	3	NA	4	3	3
14	6	Tag	267	197	0.74272	6.55093	1.98412	3	NA	3	2	1
14	7	in	17286	168	1.0658	6.61166	1.29947	2	NA	5	2	1
14	8	ihrem	358	219	0.86213	6.45806	6.00971	5	NA	3	5	1
14	9	Häuschen	NA	NA	NA	NA	0.44396	9	NA	NA	1	NA
15	1	Man	NA	NA	NA	NA	3.63104	3	NA	NA	4	NA
15	2	sollte	371	197	0	6.26449	4.38105	6	NA	3	4	1
15	3	nie	254	396	0	10.25031	2.74248	3	NA	3	3	2
15	4	Geschirr	4	352	0.11713	5.96582	4.78794	8	NA	1	4	2
15	5	mit	8136	197	0.59426	4.50678	2.40072	3	NA	4	3	1
15	6	einem	2567	197	1.19404	6.45806	1.07143	5	NA	4	2	1
15	7	dreckigen	2	197	2.66276	6.63445	2.45258	9	NA	1	3	1
15	8	Lappen	3	396	1.95622	6.60187	0.20105	6	NA	1	1	2
15	9	spülen	2	219	1.08085	6.42835	6.03039	6	NA	1	5	1
15	10	müssen	NA	NA	NA	NA	5.73259	7	NA	NA	5	NA
16	1	Man	NA	NA	NA	NA	3.63104	3	NA	NA	4	NA
16	2	kann	1297	197	0	6.26449	4.38105	4	NA	4	4	1
16	3	Spargel	3	396	0	10.25031	4.60347	7	NA	1	4	2
16	4	dämpfen	4	636	0.11748	6.44739	3.52801	7	NA	1	4	3
16	5	oder	2171	372	0.84362	4.19821	3.70544	4	NA	4	4	2
16	6	in	17286	197	1.67381	10.91359	1.26621	2	NA	5	2	1
16	7	viel	430	197	2.12291	6.58528	4.06229	4	NA	3	4	1
16	8	Wasser	131	219	2.28926	6.42414	2.72555	6	NA	3	3	1
16	9	kochen	NA	NA	NA	NA	2.75981	7	NA	NA	3	NA
17	1	Manchmal	NA	NA	NA	NA	3.75637	8	NA	NA	4	NA
17	2	sagen	232	197	0	6.60087	2.14766	5	NA	3	3	1
17	3	Opfer	132	396	0	10.75555	4.30086	5	NA	3	4	2
17	4	vor	2556	345	0.12446	4.72178	1.56745	3	NA	4	2	2
17	5	Gericht	119	345	0.49052	6.45806	2.77653	7	NA	3	3	2
17	6	nicht	7078	372	0.73547	6.61166	6.96064	5	NA	4	5	2
17	7	die	30483	394	1.04851	8.62977	4.06408	3	NA	5	4	2
17	8	volle	29	345	1.65298	6.24185	2.18392	5	NA	2	3	2
17	9	Wahrheit	NA	NA	NA	NA	0.324	9	NA	NA	1	NA
18	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
18	2	meisten	195	197	0	6.61735	5.02372	7	NA	3	4	1
18	3	Befragten	13	396	0	9.25623	2.41534	9	NA	2	3	2
18	4	hören	84	396	0.11294	6.498	2.1172	5	NA	2	3	2
18	5	Musik	205	429	0.3998	9.88174	5.26088	5	NA	3	5	3
18	6	zur	2034	219	0.85079	4.72178	3.82216	3	NA	4	4	1
18	7	Entspannung	NA	NA	NA	NA	1.18794	12	NA	NA	2	NA
19	1	Kinder	NA	NA	NA	NA	4.25708	6	NA	NA	4	NA
19	2	essen	22	197	0	6.63596	2.23236	5	NA	2	3	1
19	3	Quark	2	396	0	10.9818	2.61111	5	NA	1	3	2
19	4	am	2849	738	0.04804	4.72178	2.22164	2	NA	4	3	3
19	5	liebsten	25	394	0.27443	8.35406	3.45022	8	NA	2	3	2
19	6	mit	8136	655	0.33619	9.37216	5.26349	3	NA	4	5	3
19	7	Früchten	NA	NA	NA	NA	2.93856	9	NA	NA	3	NA
20	1	Bei	NA	NA	NA	NA	3.15662	3	NA	NA	3	NA
20	2	Wölfen	2	197	0	6.59812	1.71216	6	NA	1	2	1
20	3	leben	127	396	0	6.61166	2.40451	5	NA	3	3	2
20	4	Rudel	3	345	0.14523	10.6244	4.09225	5	NA	1	4	2
20	5	nicht	7078	372	0.43311	4.72178	7.121	5	NA	4	5	2
20	6	verwandter	2	394	0.86805	8.59877	7.37557	10	NA	1	5	2
20	7	Tiere	54	444	1.1251	9.42598	0.94272	5	NA	2	1	3
20	8	in	17286	364	1.71433	6.42835	1.5269	2	NA	5	2	2
20	9	getrennten	6	326	1.76313	6.45806	3.34368	10	NA	1	3	2
20	10	Revieren	NA	NA	NA	NA	0.22135	9	NA	NA	1	NA
21	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
21	2	Frauen	351	197	0	6.61735	1.17345	6	NA	3	2	1
21	3	in	17286	396	0	6.58696	1.81478	2	NA	5	2	2
21	4	den	12013	396	0.08621	6.45806	1.64526	3	NA	5	2	2
21	5	Andendörfern	1	381	0.4066	6.63445	1.41604	12	NA	1	2	2
21	6	weben	2	486	0.7688	6.58696	2.83201	5	NA	1	3	3
21	7	Stoff	27	319	0.81278	10.59239	4.7316	5	NA	2	4	2
21	8	noch	2804	190	0.87109	4.72178	2.77655	4	NA	4	3	1
21	9	auf	7037	443	1.17398	8.18307	2.91945	3	NA	4	3	3
21	10	traditionellen	36	219	1.23283	6.36081	4.29263	14	NA	2	4	1
21	11	Webstühlen	NA	NA	NA	NA	0.23269	11	NA	NA	1	NA
22	1	Die	NA	NA	NA	NA	2.0456	3	NA	NA	3	NA
22	2	Platzwarte	1	197	0	6.61735	1.17345	10	NA	1	2	1
22	3	ebnen	4	396	0	6.58696	2.39922	5	NA	1	3	2
22	4	Stück	129	636	0.042	10.59239	4.57382	5	NA	3	4	3
22	5	für	6680	372	0.20357	4.72178	2.26734	3	NA	4	3	2
22	6	Stück	129	394	0.37228	6.45806	2.41932	5	NA	3	3	2
