experiment simulation item wn word enctime ecc freq1
STAUB10 5 ORC 6 "noticed" 29 3.059 .00370
STAUB10 5 ORC 7 "hurried" 58 3.582 .00370
STAUB10 5 ORC 8 "to" 23 1.537 .00370
STAUB10 5 ORC 9 "the" 17 1.544 .00370
STAUB10 5 ORC 10 "clinic" 44 3.224 .00370
STAUB10 5 ORC 11 "*" 21 1.844 .00370
STAUB10 6 SRC 1 "the" 19 1.523 .00370
STAUB10 6 SRC 2 "employees" 42 3.765 .00370
STAUB10 6 SRC 3 "who" 32 2.756 .00370
STAUB10 6 SRC 4 "noticed" 34 2.853 .00370
STAUB10 6 SRC 5 "the" 17 1.803 .00370
STAUB10 6 SRC 6 "fireman" 75 4.878 .00370
STAUB10 6 SRC 7 "hurried" 27 2.048 .00370
STAUB10 6 SRC 8 "to" 51 3.809 .00370
STAUB10 6 SRC 9 "the" 114 6.226 .00370
STAUB10 6 SRC 10 "clinic" 21 1.651 .00370
STAUB10 6 SRC 11 "*" 17 1.753 .00370
STAUB10 6 ORC 1 "the" 24 1.409 .00370
STAUB10 6 ORC 2 "employees" 31 3.167 .00370
STAUB10 6 ORC 3 "who" 24 1.583 .00370
STAUB10 6 ORC 4 "the" 65 3.835 .00370
STAUB10 6 ORC 5 "fireman" 23 2.028 .00370
STAUB10 6 ORC 2 "employees" 314 7.647 .00370
STAUB10 6 ORC 2 "employees" 24 1.456 .00370
STAUB10 6 ORC 3 "who" 43 3.547 .00370
STAUB10 6 ORC 4 "the" 26 2.087 .00370
STAUB10 6 ORC 5 "fireman" 29 2.154 .00370
STAUB10 6 ORC 6 "noticed" 26 2.780 .00370
STAUB10 6 ORC 7 "hurried" 198 7.197 .00370
STAUB10 6 ORC 7 "hurried" 18 1.208 .00370
STAUB10 6 ORC 8 "to" 11 0.943 .00370
STAUB10 6 ORC 9 "the" 25 1.405 .00370
STAUB10 6 ORC 10 "clinic" 32 2.101 .00370
STAUB10 6 ORC 11 "*" 19 1.562 .00370
STAUB10 7 SRC 1 "the" 24 1.389 .00370
STAUB10 7 SRC 2 "employees" 28 3.014 .00370
STAUB10 7 SRC 3 "who" 20 2.405 .00370
STAUB10 7 SRC 4 "noticed" 24 2.328 .00370
STAUB10 7 SRC 5 "the" 55 4.006 .00370
STAUB10 7 SRC 6 "fireman" 39 2.629 .00370
STAUB10 7 SRC 7 "hurried" 51 3.142 .00370
STAUB10 7 SRC 8 "to" 18 1.821 .00370
STAUB10 7 SRC 9 "the" 23 1.414 .00370
STAUB10 7 SRC 10 "clinic" 17 1.788 .00370
STAUB10 7 SRC 11 "*" 32 2.093 .00370
STAUB10 7 ORC 1 "the" 17 1.386 .00370
STAUB10 7 ORC 2 "employees" 27 2.611 .00370
STAUB10 7 ORC 3 "who" 24 2.552 .00370
STAUB10 7 ORC 4 "the" 21 1.873 .00370
STAUB10 7 ORC 5 "fireman" 45 3.669 .00370
STAUB10 7 ORC 3 "who" 42 2.831 .00370
STAUB10 7 ORC 4 "the" 12 0.831 .00370
STAUB10 7 ORC 5 "fireman" 28 2.500 .00370
STAUB10 7 ORC 6 "noticed" 35 2.532 .00370
STAUB10 7 ORC 7 "hurried" 340 8.383 .00370
STAUB10 7 ORC 7 "hurried" 32 2.966 .00370
STAUB10 7 ORC 8 "to" 16 0.953 .00370
STAUB10 7 ORC 9 "the" 20 0.832 .00370
STAUB10 7 ORC 10 "clinic" 26 1.988 .00370
STAUB10 7 ORC 11 "*" 30 2.142 .00370
STAUB10 8 SRC 1 "the" 26 1.444 .00370
STAUB10 8 SRC 2 "employees" 31 2.554 .00370
STAUB10 8 SRC 3 "who" 25 2.501 .00370
STAUB10 8 SRC 4 "noticed" 92 4.667 .00370
STAUB10 8 SRC 5 "the" 25 2.372 .00370
STAUB10 8 SRC 6 "fireman" 29 2.616 .00370
STAUB10 8 SRC 7 "hurried" 35 2.694 .00370
STAUB10 8 SRC 8 "to" 27 2.647 .00370
STAUB10 8 SRC 9 "the" 16 0.950 .00370
STAUB10 8 SRC 10 "clinic" 32 2.497 .00370
STAUB10 8 SRC 11 "*" 26 1.520 .00370
STAUB10 8 ORC 1 "the" 21 1.189 .00370
STAUB10 8 ORC 2 "employees" 55 4.134 .00370
STAUB10 8 ORC 3 "who" 35 2.929 .00370
STAUB10 8 ORC 4 "the" 14 1.089 .00370
STAUB10 8 ORC 5 "fireman" 61 4.115 .00370
STAUB10 8 ORC 6 "noticed" 17 1.933 .00370
STAUB10 8 ORC 3 "who" 56 3.866 .00370
STAUB10 8 ORC 4 "the" 18 0.910 .00370
STAUB10 8 ORC 5 "fireman" 38 2.500 .00370
STAUB10 8 ORC 6 "noticed" 35 2.475 .00370
STAUB10 8 ORC 7 "hurried" 31 3.172 .00370
STAUB10 8 ORC 8 "to" 25 1.936 .00370
STAUB10 8 ORC 9 "the" 31 3.314 .00370
STAUB10 8 ORC 10 "clinic" 24 1.958 .00370
STAUB10 8 ORC 11 "*" 32 1.989 .00370
