experiment simulation item wn word enctime ecc freq1
"MV13-1" 2 UNAMB 5 "los" 25 1.587 .00370
"MV13-1" 2 UNAMB 6 "alumnos" 24 1.656 .00370
"MV13-1" 2 UNAMB 7 "selevantaran" 68 4.571 .00370
"MV13-1" 2 UNAMB 8 "del" 34 2.954 .00370
"MV13-1" 2 UNAMB 9 "asiento" 50 3.161 .00370
"MV13-1" 2 UNAMB 10 "si" 17 1.524 .00370
"MV13-1" 2 UNAMB 11 "los" 16 1.601 .00370
"MV13-1" 2 UNAMB 9 "asiento" 17 1.619 .00370
"MV13-1" 2 UNAMB 10 "si" 13 0.211 .00370
"MV13-1" 2 UNAMB 11 "los" 17 1.427 .00370
"MV13-1" 2 UNAMB 12 "directores" 19 2.202 .00370
"MV13-1" 2 UNAMB 13 "entraban" 132 5.834 .00370
"MV13-1" 2 UNAMB 14 "en" 16 0.830 .00370
"MV13-1" 2 UNAMB 15 "la" 28 2.662 .00370
"MV13-1" 2 UNAMB 16 "clase" 17 1.312 .00370
"MV13-1" 2 UNAMB 17 "de" 24 1.500 .00370
"MV13-1" 2 UNAMB 18 "musica" 29 1.868 .00370
"MV13-1" 2 UNAMB 19 "*" 25 1.957 .00370
"MV13-1" 3 HIGH 1 "el" 17 1.533 .00370
"MV13-1" 3 HIGH 2 "profesor" 32 2.097 .00370
"MV13-1" 3 HIGH 3 "dijo" 27 3.005 .00370
"MV13-1" 3 HIGH 4 "que" 15 1.301 .00370
"MV13-1" 3 HIGH 5 "los" 19 1.531 .00370
"MV13-1" 3 HIGH 6 "alumnos" 53 3.751 .00370
"MV13-1" 3 HIGH 7 "selevantaran" 44 4.230 .00370
"MV13-1" 3 HIGH 8 "del" 28 2.668 .00370
"MV13-1" 3 HIGH 9 "asiento" 25 2.174 .00370
"MV13-1" 3 HIGH 10 "cuando" 33 2.562 .00370
"MV13-1" 3 HIGH 11 "los" 23 2.555 .00370
"MV13-1" 3 HIGH 12 "directores" 103 5.722 .00370
"MV13-1" 3 HIGH 13 "entraron" 35 3.408 .00370
"MV13-1" 3 HIGH 14 "en" 30 2.088 .00370
"MV13-1" 3 HIGH 15 "la" 20 1.264 .00370
"MV13-1" 3 HIGH 16 "clase" 15 1.732 .00370
"MV13-1" 3 HIGH 17 "de" 35 3.594 .00370
"MV13-1" 3 HIGH 18 "musica" 24 1.798 .00370
"MV13-1" 3 HIGH 19 "*" 18 1.514 .00370
"MV13-1" 3 LOW 1 "el" 25 1.485 .00370
"MV13-1" 3 LOW 2 "profesor" 24 2.130 .00370
"MV13-1" 3 LOW 3 "dijo" 30 2.569 .00370
"MV13-1" 3 LOW 4 "que" 28 1.884 .00370
