"subj" "tid" "cond" "item" "nw" "cr" "trial" "expt" "acc" "sess" "nf" "p" "pc" "clust" "FPRT.c" "pcu" "isa" "isc" "isn" "isr" "FPRT" "FPRT.c1" "pcu1" 
"1" 1 9 "c" "63" -1.53197992986778 11 -1.63511361337801 "essp" 0 1 18 -134.318787220509 -1.2657046951394 "N" -0.35439231771248 0.680580963901941 0 0 1 0 -0.313113491159363 "low" "high" 
"2" 1 12 "a" "19" 0.334527275807903 14 -1.54143573571959 "essp" 1 1 19 -6.92611145723418 -0.500182812971001 "N" -0.157523381148946 0.680580963901941 0 0 1 0 -0.113040055316006 "low" "high" 
"3" 1 14 "a" "4" -0.90981086130922 12 -1.49459679689038 "essp" 0 1 44 282.916026451808 1.24152249005716 "C" -0.196685534535608 0.680580963901941 0 1 0 0 -0.152554617302701 "low" "high" 
"4" 1 15 "b" "26" 1.57886541292503 17 -1.47117732747578 "essp" 0 1 34 9.65928394598313 -0.400518660149758 "B" 1.08274007479724 0.680580963901941 0 0 0 1 1.07100766876316 "high" "high" 
"5" 1 16 "c" "48" 0.956696344366465 13 -1.44775785806118 "essp" 0 1 42 -11.5700375774598 -0.528088868345897 "B" 0.489816307543702 0.680580963901941 0 0 0 1 0.520615419889062 "high" "high" 
"6" 1 18 "c" "36" 0.334527275807903 14 -1.40091891923197 "essp" 1 1 58 275.097644306545 1.19454064765928 "N" -0.802985957410441 0.680580963901941 0 0 1 0 -0.782883933171282 "low" "high" 
"7" 1 23 "a" "10" -0.90981086130922 12 -1.19014369450054 "essp" 0 1 16 57.9232669256314 -0.110493076887968 "N" -0.177001397640592 0.680580963901941 0 0 1 0 -0.132675842970622 "low" "high" 
"8" 1 24 "a" "58" 0.956696344366465 14 -1.16672422508593 "essp" 1 1 24 -225.734298366068 -1.81503434641051 "N" -0.0447534864362118 0.680580963901941 0 0 1 0 -3.14703507044175e-05 "high" "high" 
"9" 1 25 "c" "21" 0.956696344366465 15 -1.14330475567133 "essp" 1 1 44 -128.041845022517 -1.22798559883438 "N" -1.0262545171566 0.680580963901941 0 0 1 0 -1.02428285924592 "low" "high" 
"10" 1 26 "c" "12" -0.287641792750658 13 -1.11988528625673 "essp" 1 1 29 510.484046387522 2.60901318682408 "B" 1.37956741043437 0.680580963901941 0 0 0 1 1.33666201132803 "high" "high" 
"11" 1 29 "a" "61" -0.90981086130922 13 -1.04962687801291 "essp" 0 1 29 167.485128764353 0.547880743946958 "N" -0.119168752662443 0.680580963901941 0 0 1 0 -0.0744755608318287 "low" "high" 
"12" 1 30 "a" "31" -1.53197992986778 12 -1.02620740859831 "essp" 0 1 30 65.3338636861682 -0.0659616786256472 "N" -0.0447534864362118 0.680580963901941 0 0 1 0 -3.14703507044175e-05 "high" "high" 
"13" 1 32 "b" "14" 0.334527275807903 15 -0.979368469769103 "essp" 1 1 34 45.3611585426902 -0.185980688681148 "N" 3.10462750210946 0.680580963901941 0 0 1 0 2.76656106888337 "high" "high" 
"14" 1 35 "c" "15" -0.287641792750658 13 -0.909110061525292 "essp" 1 1 23 -64.2657207701578 -0.844745209364938 "N" 0.120143430145063 0.680580963901941 0 0 1 0 0.163179300449429 "high" "high" 
"15" 1 36 "b" "65" -0.90981086130922 12 -0.885690592110688 "essp" 0 1 23 7.67326545875714 -0.412452946020224 "N" -0.351356326718627 0.680580963901941 0 0 1 0 -0.310000665707197 "low" "high" 
"16" 1 37 "b" "20" -0.287641792750658 13 -0.862271122696085 "essp" 0 1 42 40.4731521584001 -0.215353459328546 "A" 0.894476137757569 0.680580963901941 1 0 0 0 0.899174442971495 "high" "high" 
"17" 1 38 "c" "42" -0.90981086130922 12 -0.815432183866877 "essp" 0 1 20 -155.437688122647 -1.39261136909901 "B" 0.457085840015565 0.680580963901941 0 0 0 1 0.489426728731948 "high" "high" 
"18" 1 40 "c" "6" -0.287641792750658 13 -0.76859324503767 "essp" 0 1 59 -133.811331002526 -1.26265531387175 "B" -0.583893777831419 0.680580963901941 0 0 0 1 -0.550975458389706 "low" "high" 
"19" 1 43 "c" "45" -0.287641792750658 13 -0.674915367379255 "essp" 0 1 23 257.710562009275 1.09005903687691 "N" -0.422040993798536 0.680580963901941 0 0 1 0 -0.382700613104829 "low" "high" 
"20" 1 44 "c" "69" -1.53197992986778 12 -0.651495897964651 "essp" 0 1 21 -75.3492735806636 -0.911347956797435 "B" -0.867505728505925 0.680580963901941 0 0 0 1 -0.852107645609402 "low" "high" 
"21" 1 46 "a" "25" 0.334527275807903 13 -0.58123748972084 "essp" 1 1 43 115.198876871661 0.233684737617655 "A" 0.31103118044243 0.680580963901941 1 0 0 0 0.349178710876934 "high" "high" 
