"subj" "tid" "cond" "item" "nw" "cr" "trial" "expt" "acc" "sess" "nf" "p" "pc" "clust" "FPRT.c" "pcu" "isa" "isc" "isn" "isr"
"1" 1 9 "c" "63" 16 11 11 "essp" 0 1 18 -134.318787220509 -1.2657046951394 "N" 5.84480663904918 0.782291666666667 0 0 1 0
"2" 1 12 "a" "19" 19 14 15 "essp" 1 1 19 -6.92611145723418 -0.500182812971001 "N" 5.95064255258773 0.782291666666667 0 0 1 0
"3" 1 14 "a" "4" 17 12 17 "essp" 0 1 44 282.916026451808 1.24152249005716 "C" 5.92958914338989 0.782291666666667 0 1 0 0
"4" 1 15 "b" "26" 21 17 18 "essp" 0 1 34 9.65928394598313 -0.400518660149758 "B" 6.61740297797448 0.782291666666667 0 0 0 1
"5" 1 16 "c" "48" 20 13 19 "essp" 0 1 42 -11.5700375774598 -0.528088868345897 "B" 6.29864965070315 0.782291666666667 0 0 0 1
"6" 1 18 "c" "36" 19 14 21 "essp" 1 1 58 275.097644306545 1.19454064765928 "N" 5.60364458223229 0.782291666666667 0 0 1 0
"7" 1 23 "a" "10" 17 12 30 "essp" 0 1 16 57.9232669256314 -0.110493076887968 "N" 5.94017125272043 0.782291666666667 0 0 1 0
"8" 1 24 "a" "58" 20 14 31 "essp" 1 1 24 -225.734298366068 -1.81503434641051 "N" 6.01126717440416 0.782291666666667 0 0 1 0
"9" 1 25 "c" "21" 20 15 32 "essp" 1 1 44 -128.041845022517 -1.22798559883438 "N" 5.48361634213691 0.782291666666667 0 0 1 0
"10" 1 26 "c" "12" 18 13 33 "essp" 1 1 29 510.484046387522 2.60901318682408 "B" 6.77697610707619 0.782291666666667 0 0 0 1
"11" 1 29 "a" "61" 17 13 36 "essp" 0 1 29 167.485128764353 0.547880743946958 "N" 5.97126183979046 0.782291666666667 0 0 1 0
"12" 1 30 "a" "31" 16 12 37 "essp" 0 1 30 65.3338636861682 -0.0659616786256472 "N" 6.01126717440416 0.782291666666667 0 0 1 0
"13" 1 32 "b" "14" 19 15 39 "essp" 1 1 34 45.3611585426902 -0.185980688681148 "N" 7.70436116791031 0.782291666666667 0 0 1 0
"14" 1 35 "c" "15" 18 13 42 "essp" 1 1 23 -64.2657207701578 -0.844745209364938 "N" 6.09991506426787 0.782291666666667 0 0 1 0
"15" 1 36 "b" "65" 17 12 43 "essp" 0 1 23 7.67326545875714 -0.412452946020224 "N" 5.84643877505772 0.782291666666667 0 0 1 0
"16" 1 37 "b" "20" 18 13 44 "essp" 0 1 42 40.4731521584001 -0.215353459328546 "A" 6.51619307604296 0.782291666666667 1 0 0 0
"17" 1 38 "c" "42" 17 12 46 "essp" 0 1 20 -155.437688122647 -1.39261136909901 "B" 6.28105388881277 0.782291666666667 0 0 0 1
"18" 1 40 "c" "6" 18 13 48 "essp" 0 1 59 -133.811331002526 -1.26265531387175 "B" 5.72142761788868 0.782291666666667 0 0 0 1
"19" 1 43 "c" "45" 18 13 52 "essp" 0 1 23 257.710562009275 1.09005903687691 "N" 5.80843899487831 0.782291666666667 0 0 1 0
"20" 1 44 "c" "69" 16 12 53 "essp" 0 1 21 -75.3492735806636 -0.911347956797435 "B" 5.5689590242444 0.782291666666667 0 0 0 1
"21" 1 46 "a" "25" 19 13 56 "essp" 1 1 43 115.198876871661 0.233684737617655 "A" 6.20253551718792 0.782291666666667 1 0 0 0
"22" 1 48 "c" "9" 17 12 58 "essp" 1 1 44 347.449466240342 1.62931370327823 "B" 5.76800351869184 0.782291666666667 0 0 0 1
"23" 1 49 "a" "43" 20 14 59 "essp" 1 1 31 -58.8047428911086 -0.811929366229513 "N" 6.63331843328038 0.782291666666667 0 0 1 0
"24" 1 51 "b" "29" 19 14 61 "essp" 1 1 25 -123.962893483461 -1.20347456128263 "N" 5.80513496891649 0.782291666666667 0 0 1 0
"25" 1 56 "c" "33" 19 16 66 "essp" 1 1 48 -30.1402707187251 -0.639680211736971 "B" 5.47011318960777 0.782291666666667 0 0 0 1
"26" 1 57 "c" "30" 17 13 67 "essp" 0 1 24 437.876374439181 2.17270268971948 "C" 5.73147795374218 0.782291666666667 0 1 0 0
"27" 1 58 "b" "2" 20 13 68 "essp" 0 1 36 40.9353914839427 -0.212575793215627 "C" 5.93873155351951 0.782291666666667 0 1 0 0
"28" 1 59 "b" "41" 16 12 69 "essp" 0 1 23 -24.2994967069037 -0.604582116119933 "C" 5.95064255258773 0.782291666666667 0 1 0 0
"29" 1 64 "a" "13" 22 16 74 "essp" 1 1 34 -4.93225499543917 -0.488201427524295 "B" 6.63331843328038 0.782291666666667 0 0 0 1
"30" 1 69 "b" "71" 20 16 79 "essp" 0 1 51 7.08369310716635 -0.415995775571139 "N" 6.94954163874317 0.782291666666667 0 0 1 0
"31" 1 74 "a" "67" 20 15 84 "essp" 1 1 35 231.416737141477 0.932055461070039 "N" 6.41017488196617 0.782291666666667 0 0 1 0
"32" 1 79 "b" "35" 19 13 89 "essp" 1 1 22 -23.0765363229934 -0.597233161956758 "N" 5.8636311755981 0.782291666666667 0 0 1 0
"33" 1 80 "b" "50" 19 13 90 "essp" 0 1 61 168.267144665484 0.552579995932461 "C" 6.4425401664682 0.782291666666667 0 1 0 0
"34" 1 82 "a" "34" 17 13 92 "essp" 0 1 24 394.10055263066 1.90964714666299 "N" 6.60934924316738 0.782291666666667 0 0 1 0
"35" 1 86 "b" "17" 17 13 96 "essp" 1 1 59 313.319170808425 1.42421958902511 "B" 5.90263333340137 0.782291666666667 0 0 0 1
"36" 1 88 "a" "49" 19 13 98 "essp" 0 1 53 54.5585239923703 -0.130712326761245 "A" 6.06378520868761 0.782291666666667 1 0 0 0
"37" 1 89 "a" "55" 22 16 99 "essp" 0 1 55 -86.2146035540529 -0.976639370152043 "C" 6.22257626807137 0.782291666666667 0 1 0 0
"38" 1 90 "c" "54" 18 13 100 "essp" 0 1 38 -43.3595145625805 -0.719116650037362 "B" 6.2231990961146 0.782291666666667 0 0 0 1
"39" 1 94 "b" "23" 17 13 104 "essp" 0 1 35 -25.6686651966338 -0.612809656934065 "C" 5.63645068164658 0.782291666666667 0 1 0 0
"40" 1 96 "a" "22" 18 12 106 "essp" 1 1 76 -42.3166537193185 -0.712849941289858 "A" 5.85793315448346 0.782291666666667 1 0 0 0
"41" 1 97 "b" "44" 20 14 107 "essp" 0 1 40 204.008178394066 0.767353280555123 "C" 6.65157187358973 0.782291666666667 0 1 0 0
"42" 1 98 "b" "5" 20 14 108 "essp" 0 1 57 223.591404179231 0.885031850160221 "N" 5.65970754381084 0.782291666666667 0 0 1 0
