experiment simulation item wn word timeout.eyeloc
"MV13-23" 4 UNAMB 10 "si" 10
"MV13-23" 5 HIGH 8 "del" 8
"MV13-23" 7 UNAMB 10 "si" 9
"MV13-23" 8 UNAMB 10 "si" 10
"MV13-23" 11 UNAMB 10 "si" 10
"MV13-23" 14 UNAMB 10 "si" 9
"MV13-24" 2 UNAMB 3 "dijo" 3
"MV13-24" 2 UNAMB 7 "selevantaran" 7
"MV13-24" 5 UNAMB 10 "si" 10
"MV13-24" 6 UNAMB 15 "la" 14
"MV13-24" 6 UNAMB 17 "de" 16
"MV13-24" 7 UNAMB 10 "si" 10
"MV13-24" 8 LOW 3 "dijo" 3
"MV13-24" 12 UNAMB 10 "si" 10
"MV13-25" 1 UNAMB 15 "la" 14
"MV13-25" 5 UNAMB 10 "si" 10
"MV13-25" 6 UNAMB 10 "si" 10
"MV13-25" 7 HIGH 16 "clase" 15
"MV13-25" 7 HIGH 17 "de" 16
"MV13-25" 9 UNAMB 17 "de" 16
"MV13-25" 12 UNAMB 10 "si" 10
"MV13-25" 14 UNAMB 10 "si" 10
"MV13-26" 5 UNAMB 10 "si" 10
"MV13-26" 6 UNAMB 10 "si" 10
"MV13-26" 8 UNAMB 10 "si" 10
"MV13-26" 10 HIGH 17 "de" 16
"MV13-26" 10 UNAMB 3 "dijo" 3
"MV13-26" 10 UNAMB 10 "si" 10
"MV13-26" 11 UNAMB 13 "entraban" 13
"MV13-26" 14 UNAMB 10 "si" 9
"MV13-27" 1 UNAMB 9 "asiento" 9
"MV13-27" 4 LOW 14 "en" 13
"MV13-27" 4 UNAMB 10 "si" 9
"MV13-27" 10 HIGH 13 "entraron" 13
"MV13-28" 1 UNAMB 10 "si" 9
"MV13-28" 3 UNAMB 10 "si" 10
"MV13-28" 6 UNAMB 10 "si" 10
"MV13-28" 7 HIGH 10 "cuando" 10
"MV13-28" 10 HIGH 13 "entraron" 13
"MV13-28" 12 UNAMB 10 "si" 10
"MV13-28" 13 HIGH 13 "entraron" 13
"MV13-28" 13 UNAMB 10 "si" 10
"MV13-29" 1 HIGH 14 "en" 14
"MV13-29" 1 UNAMB 10 "si" 10
"MV13-29" 3 UNAMB 10 "si" 10
"MV13-29" 4 LOW 3 "dijo" 3
"MV13-29" 4 UNAMB 17 "de" 17
"MV13-29" 5 UNAMB 10 "si" 10
"MV13-29" 6 UNAMB 10 "si" 10
"MV13-29" 6 UNAMB 15 "la" 14
"MV13-29" 7 LOW 16 "clase" 16
"MV13-29" 8 UNAMB 10 "si" 10
"MV13-29" 10 LOW 16 "clase" 16
"MV13-29" 10 UNAMB 10 "si" 10
"MV13-29" 11 HIGH 3 "dijo" 3
"MV13-29" 14 LOW 17 "de" 16
"MV13-30" 3 UNAMB 10 "si" 9
"MV13-30" 4 UNAMB 10 "si" 10
"MV13-30" 5 LOW 7 "selevantaran" 7
"MV13-30" 6 UNAMB 10 "si" 10
"MV13-30" 7 UNAMB 10 "si" 9
"MV13-30" 11 LOW 15 "la" 14
"MV13-30" 11 UNAMB 10 "si" 10
"MV13-30" 12 LOW 13 "entraran" 13
"MV13-30" 13 UNAMB 10 "si" 10
"MV13-31" 2 UNAMB 10 "si" 10
"MV13-31" 8 UNAMB 10 "si" 10
"MV13-31" 14 UNAMB 7 "selevantaran" 7
"MV13-31" 14 UNAMB 10 "si" 9
"MV13-32" 2 UNAMB 14 "en" 13
"MV13-32" 5 UNAMB 10 "si" 10
"MV13-32" 6 UNAMB 10 "si" 9
"MV13-32" 9 UNAMB 10 "si" 10
"MV13-32" 10 UNAMB 10 "si" 9
"MV13-32" 14 UNAMB 10 "si" 10
"MV13-33" 1 UNAMB 10 "si" 10
"MV13-33" 2 LOW 17 "de" 17
"MV13-33" 5 HIGH 13 "entraron" 13
"MV13-33" 7 UNAMB 10 "si" 10
"MV13-33" 8 LOW 15 "la" 14
"MV13-33" 12 LOW 8 "del" 8
"MV13-33" 12 UNAMB 15 "la" 14
"MV13-33" 13 UNAMB 3 "dijo" 3
"MV13-34" 10 UNAMB 10 "si" 9
"MV13-34" 11 UNAMB 10 "si" 9
"MV13-35" 1 LOW 7 "selevantaran" 7
"MV13-35" 1 UNAMB 3 "dijo" 3
"MV13-35" 3 HIGH 9 "asiento" 9
"MV13-35" 3 LOW 4 "que" 4
"MV13-35" 3 UNAMB 10 "si" 10
"MV13-35" 7 UNAMB 18 "musica" 17
"MV13-35" 8 UNAMB 10 "si" 9
"MV13-35" 9 HIGH 14 "en" 14
"MV13-35" 11 HIGH 17 "de" 16
"MV13-35" 13 UNAMB 10 "si" 10
"MV13-35" 15 UNAMB 10 "si" 10
"MV13-35" 15 UNAMB 18 "musica" 18
"MV13-36" 7 UNAMB 10 "si" 9
"MV13-36" 9 UNAMB 10 "si" 10
"MV13-36" 10 HIGH 15 "la" 14
"MV13-36" 10 UNAMB 10 "si" 10
"MV13-36" 15 UNAMB 10 "si" 10
"MV13-37" 2 UNAMB 10 "si" 10
"MV13-37" 4 UNAMB 10 "si" 10
"MV13-37" 11 UNAMB 10 "si" 9
"MV13-37" 13 UNAMB 10 "si" 9
"MV13-38" 2 UNAMB 10 "si" 10
"MV13-38" 4 UNAMB 13 "entraban" 13
"MV13-38" 4 UNAMB 17 "de" 17
"MV13-38" 7 UNAMB 10 "si" 10
"MV13-38" 9 HIGH 3 "dijo" 3
"MV13-38" 9 UNAMB 10 "si" 10
"MV13-38" 11 UNAMB 10 "si" 10
"MV13-38" 13 UNAMB 10 "si" 10
"MV13-39" 1 UNAMB 10 "si" 10
"MV13-39" 3 LOW 13 "entraran" 13
"MV13-39" 3 UNAMB 10 "si" 9
"MV13-39" 6 UNAMB 15 "la" 14
"MV13-39" 6 UNAMB 17 "de" 17
"MV13-39" 8 UNAMB 10 "si" 10
"MV13-39" 9 UNAMB 15 "la" 14
"MV13-39" 12 UNAMB 10 "si" 10
"MV13-39" 15 UNAMB 10 "si" 10
"MV13-40" 2 UNAMB 10 "si" 10
"MV13-40" 3 UNAMB 15 "la" 14
"MV13-40" 4 UNAMB 10 "si" 10
"MV13-40" 8 LOW 16 "clase" 15
"MV13-40" 8 UNAMB 10 "si" 9
"MV13-40" 10 UNAMB 10 "si" 10
"MV13-40" 14 UNAMB 10 "si" 10
"MV13-40" 15 HIGH 7 "selevantaran" 7
"MV13-41" 2 UNAMB 10 "si" 9
"MV13-41" 4 UNAMB 10 "si" 10
"MV13-41" 6 HIGH 13 "entraron" 13
"MV13-41" 9 UNAMB 10 "si" 10
"MV13-41" 10 UNAMB 10 "si" 10
"MV13-42" 1 UNAMB 10 "si" 10
"MV13-42" 2 LOW 7 "selevantaran" 7
"MV13-42" 2 UNAMB 10 "si" 11
"MV13-42" 2 UNAMB 17 "de" 16
"MV13-42" 3 LOW 7 "selevantaran" 7
"MV13-42" 6 HIGH 13 "entraron" 13
"MV13-42" 7 HIGH 4 "que" 3
"MV13-42" 8 UNAMB 10 "si" 10
"MV13-42" 10 UNAMB 10 "si" 10
"MV13-42" 11 HIGH 4 "que" 3
"MV13-42" 11 LOW 16 "clase" 16
"MV13-42" 11 UNAMB 3 "dijo" 3
"MV13-42" 14 HIGH 7 "selevantaran" 7
"MV13-42" 14 UNAMB 10 "si" 10
"MV13-42" 14 UNAMB 15 "la" 14
"MV13-43" 7 UNAMB 10 "si" 10
"MV13-43" 12 UNAMB 10 "si" 10
"MV13-43" 14 UNAMB 10 "si" 9
"MV13-43" 15 HIGH 3 "dijo" 4
"MV13-44" 1 UNAMB 10 "si" 9
"MV13-44" 10 UNAMB 10 "si" 10
"MV13-44" 11 UNAMB 10 "si" 10
"MV13-44" 14 UNAMB 10 "si" 9
"MV13-45" 2 UNAMB 10 "si" 10
"MV13-45" 12 UNAMB 10 "si" 10
"MV13-45" 13 UNAMB 17 "de" 16
"MV13-45" 15 UNAMB 10 "si" 10
"MV13-46" 4 UNAMB 7 "selevantaran" 7
"MV13-46" 6 HIGH 16 "clase" 16
"MV13-46" 6 UNAMB 10 "si" 10
"MV13-46" 7 UNAMB 10 "si" 10
"MV13-46" 8 UNAMB 10 "si" 9
"MV13-46" 8 UNAMB 13 "entraban" 13
"MV13-46" 9 UNAMB 10 "si" 10
"MV13-46" 9 UNAMB 14 "en" 14
"MV13-46" 10 UNAMB 10 "si" 10
"MV13-46" 12 UNAMB 10 "si" 10
"MV13-46" 13 UNAMB 10 "si" 10
"MV13-46" 15 UNAMB 10 "si" 9
"MV13-47" 5 UNAMB 10 "si" 10
"MV13-47" 8 UNAMB 10 "si" 10
"MV13-47" 10 UNAMB 10 "si" 10
"MV13-48" 7 UNAMB 14 "en" 15
"MV13-48" 9 UNAMB 10 "si" 10
"MV13-48" 14 HIGH 16 "clase" 15
"MV13-48" 14 UNAMB 10 "si" 10
"MV13-49" 2 HIGH 14 "en" 14
"MV13-49" 3 UNAMB 10 "si" 9
"MV13-49" 4 UNAMB 10 "si" 9
"MV13-49" 5 UNAMB 13 "entraban" 13
"MV13-49" 7 UNAMB 10 "si" 9
"MV13-49" 9 UNAMB 10 "si" 9
"MV13-49" 11 HIGH 14 "en" 14
"MV13-49" 12 LOW 13 "entraran" 13
"MV13-49" 14 HIGH 3 "dijo" 3
"MV13-50" 2 UNAMB 10 "si" 10
"MV13-50" 2 UNAMB 15 "la" 14
"MV13-50" 10 UNAMB 10 "si" 10
"MV13-50" 11 UNAMB 17 "de" 17
"MV13-50" 13 UNAMB 10 "si" 10
"MV13-50" 14 UNAMB 10 "si" 9
"MV13-51" 2 UNAMB 10 "si" 10
"MV13-51" 3 UNAMB 10 "si" 10
