sn	wn	nw	let	l	f	p	word	log_freq	bigram	pos_bigram	len	logitpred	spm	spu	sp1	rv1	sp5	rv5	sp10	rv10	sp15	rv15	sp20	rv20	sp25	rv25	sp30	rv30	sp50	rv50	sp100	rv100	freq.pm	scaled.freq	scaled.log.freq	log.rv100	scaled.log.rv100	freq.class	spu.class	sp100.class	rv1.class	rv100.class
115	6	6	3.88461538461538	10	0.640956218000991	-0.143841911	Vorwürfen	NA	NA	NA	NA	NA	NA	1.02302156184281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
116	1	7	2.14678899082569	3	3.6967764986441	-0.770221104	Die	NA	NA	NA	NA	NA	NA	2.04559655167458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
116	2	7	3.0365296803653	6	2.71185866670057	-2.215395751	beiden	2.6797857	8.3802273	11.624422	0.16666667	-2.21539575	6.61735	6.1802015806717	1.99033136802	51	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	478.393973442848	0.0143107040347773	0.592332412941668	5.2812582127327	0.77476502189049	3	5	1	1	1
116	3	7	3.22488038277512	7	2.24276249450135	-1.504075429	Mädchen	2.0106942	5.0814044	12.802111	0.14285714	-1.50407543	9.256233	1.42571215460315	2.47598118143	395.929128334	1.03936718436	196.617105931	0.166150510989	395.929128334	0.098999320148	395.929128334	0.098999320148	395.929128334	0.098999320148	395.929128334	0.0374434424901	395.929128334	0	395.929128334	0	395.929128334	102.49299876251	0.00306598128812403	0.444438279961647	5.98123522638411	0.877452238545981	3	2	1	3	2
116	4	7	4.26732673267327	9	0.753978110118476	-2.552972737	schütteln	0.67709754	1.0986123	14.315436	0.11111111	-2.55297274	6.498005	6.18146110688059	0.344430885517	196.617105931	1.52986819099	196.617105931	1.43158595103	196.617105931	1.00867818936	196.617105931	0.683927734035	196.617105931	0.486999461178	196.617105931	0.508331938735	196.617105931	0.431927076392	344.929128334	0.143808885211	395.929128334	4.75441995443281	0.000142223984000617	0.149663765899291	5.98123522638411	0.877452238545981	1	5	2	2	2
116	5	7	2.45273631840796	4	3.89769250540602	-0.154151523	sich	3.8809747	3.3322045	12.620118	0.25	-0.15415152	9.881736	12.4170421616063	1.54820654032	145.617105931	1.03651006354	145.617105931	0.976034653545	145.617105931	0.932277093093	196.617105931	0.932596108376	196.617105931	0.821658100004	196.617105931	0.650413088321	196.617105931	0.290058876117	404.058214142	0.240387930824	664.547658658	7602.8198511675	0.227431177564333	0.857839904368684	6.49910659666198	0.953424404148954	4	5	3	2	3
116	6	7	1.66071428571429	3	3.31234663903085	-0.082538928	vor	3.4075337	8.7352036	12.085587	0.33333333	-0.08253893	5.159996	0.820283071853983	1.9618631312	130.561438751	1.54036836569	145.617105931	1.35345626487	196.617105931	1.33444057461	196.617105931	1.39809953921	196.617105931	1.39029429734	196.617105931	1.40363684286	196.617105931	1.19545557578	344.929128334	0.998170471504	411.269059901	2555.84021920372	0.0764555470337134	0.753191816308688	6.01924764726946	0.883028692662226	4	1	4	1	3
116	7	7	2.15286624203822	7	1.50223451274619	-0.730759854	lachen	NA	NA	NA	NA	NA	NA	7.34536243968769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA
117	1	8	4.49363867684478	8	0.713445179212184	-2.552972737	Dorothea	NA	NA	NA	NA	NA	NA	3.7703904316269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA
117	2	8	1.70731707317073	3	0.633724916582056	-2.552972737	log	0.24562567	0.6931472	12.641517	0.33333333	-2.55297274	6.588227	2.43491429097503	1.29872715863	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	1.76045800656498	5.26624391112133e-05	0.0542924181554943	5.2812582127327	0.77476502189049	1	3	1	2	1
117	3	8	1.640625	3	2.46617338037812	-1.868830714	oft	2.3649279	0.6931472	12.925034	0.33333333	-1.86883071	10.917208	3.43464416268348	1.1361472271	145.617105931	0.676580428347	196.617105931	0.260934745229	196.617105931	0.260934745229	196.617105931	0.153506039016	196.617105931	0.113401112793	344.929128334	0.0182480633771	344.929128334	0	395.929128334	0	395.929128334	231.70099564192	0.00693111652166508	0.522737116419448	5.98123522638411	0.877452238545981	3	4	1	2	2
117	4	8	1.49082568807339	3	3.41759955459023	-2.221321581	bei	3.4707382	5.241747	13.601745	0.33333333	-2.22132158	4.852871	1.69574201588368	1.91990325671	130.561438751	1.59194963259	196.617105931	1.2630456819	196.617105931	0.764371898357	344.929128334	0.631443645499	344.929128334	0.554372964727	344.929128334	0.576659861939	344.929128334	0.375254668119	344.929128334	0.130456423974	344.929128334	2956.22986435435	0.0884328252362462	0.767162364025908	5.84333897080989	0.857222741868276	4	2	2	1	1
117	5	8	2.51282051282051	6	2.32460136966668	-1.660110015	Fragen	2.2456385	3.0445224	14.028411	0.16666667	-1.66011002	6.360805	1.96126121192053	0.814321285519	145.617105931	1.12198949276	145.617105931	1.17287436945	150.832976238	1.28397529385	150.832976238	1.35084398562	196.617105931	1.15276794741	196.617105931	1.03086097978	301.431851041	0.787767495414	344.929128334	0.658711734315	344.929128334	176.051001507717	0.00526639948967511	0.496369717660523	5.84333897080989	0.857222741868276	3	2	3	2	1
117	6	8	2.36190476190476	4	3.4792901973587	-1.073291291	nach	3.5270109	5.7235851	14.889018	0.25	-1.07329129	6.611656	2.18438374790483	2.61495073511	130.561438751	1.64111746062	167.925658896	1.92431613279	167.925658896	1.73757652921	167.925658896	1.78819704539	218.925658896	1.81274390926	218.925658896	1.77911093227	218.925658896	1.51678345053	218.925658896	1.23489138043	218.925658896	3365.20015308583	0.100666785289994	0.779600725859745	5.38873221509201	0.790531548433316	4	3	4	1	1
117	7	8	2.40756302521008	5	2.56619464367675	-0.474539699	ihrem	2.5537022	7.3078728	12.973641	0.2	-0.4745397	6.458063	5.70062940053836	1.57014880641	167.925658896	2.08886598182	167.925658896	1.84951446283	167.925658896	1.88914117982	218.925658896	1.63878293501	218.925658896	1.61084316378	218.925658896	1.71839894607	218.925658896	1.98254697632	218.925658896	1.68207837048	422.893369667	357.85097102067	0.0107047739292775	0.56446326512618	6.047120066103	0.887117599948684	3	5	4	2	3
117	8	8	2.07432432432432	6	1.80051293939295	-0.596961625	Alter	NA	NA	NA	NA	NA	NA	0.112287162608993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
118	1	9	2.12217194570136	3	3.6967764986441	-0.811810846	Die	NA	NA	NA	NA	NA	NA	2.04559655167458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
118	2	9	4.26459143968872	10	1.45000263017319	-2.552972737	Großmutter	1.0143966	4.6913479	15.822097	0.1	-2.55297274	6.61735	1.17344818178616	0.544266065392	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	10.3370495966056	0.000309223078846977	0.224219416409985	5.2812582127327	0.77476502189049	2	1	1	2	1
118	3	9	1.63589743589744	3	0.607974793102736	-2.552972737	wog	0.41459568	0.6931472	14.315436	0.33333333	-2.55297274	6.586956	2.42056314916937	0.344430885517	196.617105931	0.265168553075	196.617105931	0.17101849506	196.617105931	0.131553774163	395.929128334	0.107511373828	395.929128334	0.0508262924124	395.929128334	0.0400831925315	395.929128334	3.20342650381e-16	395.929128334	3.20342650381e-16	395.929128334	2.59773998994584	7.7708939115349e-05	0.0916410814228883	5.98123522638411	0.877452238545981	1	3	1	2	2
118	4	9	1.65359477124183	3	4.47080726130185	-1.007451794	die	4.4840591	3.0445224	13.279692	0.33333333	-1.00745179	10.592385	2.50284989137992	1.42976556915	51	0.505708013244	196.617105931	0.290665626116	196.617105931	0.235219174306	196.617105931	0.223944510197	196.617105931	0.240327358244	196.617105931	0.19729881487	196.617105931	0.14513973119	395.929128334	0.0425397153073	429.297861383	30483.0978387079	0.911873090903439	0.991144010685647	6.06215099358056	0.889322649652202	5	3	2	1	3
118	5	9	2.36326530612245	7	0.83905611802894	-1.288845985	Zutaten	0.76325424	3.7841896	15.822097	0.14285714	-1.28884598	6.54856	0.761945262831666	1.27525819246	371.57079941	0.86416742145	371.57079941	0.625523651354	371.57079941	0.619676986658	371.57079941	0.546883351745	371.57079941	0.494371500418	371.57079941	0.444711659773	371.57079941	0.376346907776	371.57079941	0.314274284829	422.57079941	5.79767998641874	0.000173432122852404	0.1687076043682	6.04635700532656	0.887005658290968	1	1	3	3	3
118	6	9	2.43859649122807	4	2.65826330983051	-2.215395751	beim	2.8082758	1.0986123	13.131097	0.25	-2.21539575	6.586956	4.50073947993794	1.54606205275	167.925658896	1.07767593778	218.925658896	0.803806221621	218.925658896	0.713335302625	218.925658896	0.621064969852	218.925658896	0.62631509302	218.925658896	0.625140027183	218.925658896	0.575734248362	422.893369667	0.501648251962	422.893369667	643.095987682748	0.0192376092856028	0.620733508959203	6.047120066103	0.887117599948684	3	5	3	2	3
118	7	9	2.63313609467456	6	0.881103786880248	0.437733519	Backen	0.49984236	2.7080502	13.858854	0.16666667	0.43773352	6.520961	0.475862959157709	1.27248061828	145.617105931	1.64946634048	145.617105931	1.52034961018	196.617105931	0.956946638761	196.617105931	1.0446518434	196.617105931	0.920402768821	196.617105931	0.959173748276	196.617105931	0.798725270425	394.085139536	0.672099897617	445.085139536	3.16113002645633	9.45622201268566e-05	0.110483771590116	6.09826558866598	0.894620691127332	1	1	3	2	3
118	8	9	2.57458563535912	4	2.971137557753	-2.215395751	sehr	2.7566506	1.0986123	13.537719	0.25	-2.21539575	6.621548	4.32324330537932	1.56931550048	51	2.45440192413	241.234211861	2.25217365985	241.234211861	2.57183692978	241.234211861	1.8421368459	241.234211861	1.5884733688	241.234211861	1.38493965109	241.234211861	1.3768539062	241.234211861	1.10461737414	241.234211861	571.019053729729	0.0170814958586032	0.60932241766015	5.48576829501439	0.804766822975277	3	5	4	1	1
118	9	9	2.59375	6	2.31174114981173	1.066756246	genau	NA	NA	NA	NA	NA	NA	2.72391497751468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA
119	1	7	2.06392694063927	3	3.6967764986441	-0.811810846	Die	NA	NA	NA	NA	NA	NA	2.04559655167458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
119	2	7	2.84102564102564	6	2.48253058413174	-1.862855675	Mutter	2.1362543	7.3511582	15.822097	0.16666667	-1.86285567	6.61735	1.17344818178616	0.544266065392	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	136.852993015819	0.00409382807485721	0.472191736890011	5.2812582127327	0.77476502189049	3	1	1	2	1
119	3	7	2.6028880866426	6	2.98777616505529	-2.215395751	sagte	2.8506824	5.5759491	14.315436	0.16666667	-2.21539575	8.58967	2.79832599483121	0.5821332	171.11711	0.34787884	196.61711	0.22305778	196.61711	0.19952892	296.27313	0.15711798	296.27313	0.13558361	296.27313	0.11102465	296.27313	0.063213855	395.92914	0.024339087	412.6135	709.059042709254	0.0212108317969997	0.630106946433196	6.02251131944265	0.883507476115119	3	4	2	2	3
119	4	7	2.19066147859922	4	0.964984734860124	-2.552972737	Nina	0.93241947	3.3322045	11.723794	0.25	-2.55297274	6.01103	4.12588417211473	2.68694997327	130.561438751	1.32193585617	145.617105931	1.1217997355	145.617105931	0.62799622053	196.617105931	0.488897833821	196.617105931	0.455319812623	344.929128334	0.447428445017	344.929128334	0.403741257402	344.929128334	0.265902486566	395.929128334	8.55892991183369	0.000256032307307665	0.206099418523985	5.98123522638411	0.877452238545981	1	4	3	1	2
119	5	7	1.62962962962963	3	0.435128974225213	-2.552972737	übe	0.32840203	0.6931472	12.641517	0.33333333	-2.55297274	6.606428	3.18080513956485	2.83034568999	124.179993661	1.18703031383	167.925658896	0.752971201349	218.925658896	1.00007437064	218.925658896	1.04870959906	371.57079941	1.02654364955	371.57079941	0.907250305177	371.57079941	0.71842933604	371.57079941	0.677578724997	371.57079941	2.1301099940498	6.37202293059606e-05	0.0725890756282646	5.917739423147	0.868137350804581	1	4	3	1	2
119	6	7	2.58679706601467	6	2.52404023136623	-2.215395751	gerade	2.494743	0.6931472	12.925034	0.16666667	-2.21539575	11.03809	2.71285935040053	1.51770608514	167.925658896	1.9691889242	167.925658896	1.78458702	218.925658896	1.73907724839	167.925658896	1.56293105031	218.925658896	1.23213963654	218.925658896	1.16660948938	218.925658896	1.06973030569	422.893369667	0.823775884818	422.893369667	312.423001198535	0.00934583910334987	0.551431086769116	6.047120066103	0.887117599948684	3	3	4	2	3
119	7	7	2.98	8	1.17142512131622	-1.13217987	Klavier	NA	NA	NA	NA	NA	NA	4.42142507762361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA
12	1	9	1.52970297029703	2	3.23050256620687	-2.552972737	Er	NA	NA	NA	NA	NA	NA	4.55950368573624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA
12	2	9	2.51528384279476	5	2.69042734672678	-2.552972737	hätte	2.5492338	7.0440329	13.041672	0.2	-2.55297274	6.539918	1.60150794030616	1.72431434671	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	354.187964873781	0.0105951985588596	0.563475582359611	5.2812582127327	0.77476502189049	3	2	1	2	1
12	3	9	2.59016393442623	5	3.90887785085892	-1.862855675	nicht	3.8499069	6.3969297	10.850055	0.2	-1.86285567	10.746733	5.45851130841026	1.9263204697	145.617105931	0.751187211668	196.617105931	0.173469894674	395.929128334	0.082909376892	395.929128334	0	395.929128334	0	395.929128334	0	395.929128334	0	395.929128334	0	395.929128334	7077.94037836074	0.211729903705864	0.850972763858609	5.98123522638411	0.877452238545981	4	5	1	2	2
12	4	9	2.13636363636364	4	3.6413451911826	-2.552972737	auch	3.6974124	7.9707404	12.151775	0.25	-2.55297274	5.904742	1.94302475959572	1.580644057	51	2.02566926379	196.617105931	1.71265742026	196.617105931	0.925613143053	196.617105931	0.718629463183	344.929128334	0.492548340261	344.929128334	0.391445190552	344.929128334	0.262371871646	344.929128334	0.108618075776	352.431851041	4982.09953671714	0.14903480373855	0.817265801714086	5.86485727318145	0.860379494925296	4	2	2	1	2
12	5	9	1.95544554455446	4	3.46134693245464	0.329028977	noch	3.4477099	9.1502718	13.64147	0.25	0.32902898	10.082686	3.40529838137201	1.9989227284	51	2.01955453323	145.617105931	2.05605020947	196.617105931	2.40807337696	196.617105931	2.19780154235	196.617105931	1.87438608015	196.617105931	1.64491006084	196.617105931	0.91536711163	196.617105931	0.665326349591	344.929128334	2803.56029032022	0.0838658590736197	0.762072252340878	5.84333897080989	0.857222741868276	4	4	3	1	1
12	6	9	0.93859649122807	2	3.25909192863221	-2.215395751	am	3.4547306	7.3092124	11.955352	0.5	-2.21539575	9.68893	2.910301463665	7.40878604439	603.078419758	1.92501502154	218.925658896	1.73217360911	218.925658896	1.88357249231	218.925658896	1.89251691867	218.925658896	2.14558421361	218.925658896	2.23279486092	218.925658896	2.37389447693	218.925658896	1.39137119936	218.925658896	2849.25028245908	0.0852326320497608	0.763624088434167	5.38873221509201	0.790531548433316	4	4	4	3	1
12	7	9	2.57142857142857	7	1.28760020635995	-2.552972737	Telefon	1.6347482	5.805135	13.858854	0.14285714	-2.55297274	6.493196	1.90229351234165	1.39226879047	145.617105931	1.70991784759	145.617105931	2.03569567915	145.617105931	1.95258594726	145.617105931	2.01021976024	145.617105931	1.97535516074	145.617105931	1.9196812597	145.617105931	2.05670490408	145.617105931	2.30515988987	196.617105931	43.1268958497621	0.00129010037062756	0.361340216815863	5.2812582127327	0.77476502189049	2	2	4	2	1
12	8	9	3.22857142857143	7	0.0777631332547885	-2.552972737	nörgeln	0.11191414	0.6931472	13.354391	0.14285714	-2.55297274	6.621548	3.34217244130232	4.68578171935	147.10174657	2.66465865168	196.617105931	2.47165025086	196.617105931	2.72030156756	196.617105931	2.54758843087	196.617105931	2.40379332466	196.617105931	2.39968817434	196.617105931	2.13298527481	196.617105931	2.42245406955	196.617105931	1.2939400042793	3.8706993540778e-05	0.0247371917047291	5.2812582127327	0.77476502189049	1	4	4	2	1
12	9	9	3.35779816513761	7	2.46040466114009	0.437733519	sollen	NA	NA	NA	NA	NA	NA	5.72094030840584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA
120	1	8	2.04065040650406	3	3.42584874184721	-0.737951647	Der	NA	NA	NA	NA	NA	NA	2.04559655167458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
120	2	8	3.46153846153846	7	0.603530841835932	-2.552972737	Gehilfe	0.31127057	3.1780538	15.822097	0.14285714	-2.55297274	6.61735	1.17344818178616	0.544266065392	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	2.04771999035393	6.12556101347979e-05	0.0688023851331949	5.2812582127327	0.77476502189049	1	1	1	2	1
120	3	8	1.74342105263158	3	3.92971925144343	-0.140450291	des	3.8957484	4.0073332	14.78291	0.33333333	-0.14045029	6.586956	2.84716924064884	1.79393878085	51	0.359769958369	196.617105931	0.133459362748	196.617105931	0.133459362748	196.617105931	0.0844702621482	196.617105931	0.0310091454001	215.098116321	0	395.929128334	0	395.929128334	0	395.929128334	7865.89962185658	0.235300960514929	0.861105442120108	5.98123522638411	0.877452238545981	4	4	1	1	2
120	4	8	2.85836909871245	8	0.165665651533124	-1.510208248	Gärtners	0.14361428	3.4011974	15.822097	0.125	-1.51020825	6.567087	0.796593375138522	2.05474245756	371.57079941	0.987560277949	371.57079941	0.684719543912	422.57079941	0.460441730574	422.57079941	0.429364785371	422.57079941	0.370429912186	422.57079941	0.352212593745	422.57079941	0.235264688975	422.57079941	0.107884235159	738.210287241	1.39192001569077	4.16379730732807e-05	0.0317441028979595	6.60422872607317	0.968845908952124	1	1	2	3	3
120	5	8	1.66115702479339	3	0.345924337355957	-2.221321581	sät	0.21283084	0.6931472	14.315436	0.33333333	-2.22132158	6.586956	2.68201888360306	1.76815582047	202.38955612	0.730150836133	218.925658896	0.849241417629	218.925658896	0.690933553023	527.128622441	0.616786072433	527.128622441	0.621774045092	527.128622441	0.590223392324	527.128622441	0.443680052376	527.128622441	0.352472868255	527.128622441	1.63241598937736	4.88321830592799e-05	0.0470435397149862	6.2674445841152	0.919439392056707	1	3	3	3	3
120	6	8	2.82978723404255	6	0.206530671275019	-2.221321581	Kresse	0.11415043	0.6931472	11.64533	0.16666667	-2.22132158	10.592385	4.60528099466277	0.267992983608	145.617105931	0.352352589973	145.617105931	0.427882892397	145.617105931	0.571156623439	145.617105931	0.585967360443	145.617105931	0.526257491469	145.617105931	0.521226503632	196.617105931	0.52542175816	196.617105931	0.443307989504	449.03704832	1.30062000601421	3.89068194856831e-05	0.0252314950558281	6.10710539730039	0.895917498489189	1	5	3	2	3
120	7	8	1.89583333333333	3	4.4285899164761	-0.909578737	und	4.3648511	2.0794415	13.983518	0.33333333	-0.90957874	4.721775	3.08172462660122	2.81071338241	130.561438751	1.01025374835	190.234211861	0.871312847783	190.234211861	0.807388120678	190.234211861	0.737160765855	190.234211861	0.776215514816	190.234211861	0.785833777903	190.234211861	0.796380128606	241.234211861	0.650359223301	241.234211861	23166.0025599907	0.692989094154058	0.964794604357391	5.48576829501439	0.804766822975277	5	4	3	1	1
120	8	8	4.07736389684814	11	0.373335049954568	-1.868830714	Radieschen	NA	NA	NA	NA	NA	NA	0.278545901697328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
121	1	7	2.08571428571429	3	3.6967764986441	-1.014074463	Die	NA	NA	NA	NA	NA	NA	2.04559655167458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
121	2	7	2.19369369369369	4	2.80228991858941	-2.552972737	zwei	2.9658393	5.749393	10.944647	0.25	-2.55297274	6.61735	6.96436225706343	1.98575218853	51	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	924.35607540041	0.0276512392549691	0.655560908831713	5.2812582127327	0.77476502189049	3	5	1	1	1
121	3	7	3.00320512820513	7	0.273519105490101	-2.552972737	Nichten	0.15084912	1.9459101	13.057229	0.14285714	-2.55297274	6.505303	0.945827631491127	2.43058949292	473.893369667	1.03506323543	218.925658896	0.166455070066	473.893369667	0.0998519232234	473.893369667	0.0998519232234	473.893369667	0.0998519232234	473.893369667	0.037634458416	473.893369667	3.20342650381e-16	473.893369667	3.20342650381e-16	473.893369667	1.41530199875263	4.23374230202279e-05	0.0333432719040658	6.16098233787968	0.903821290988232	1	1	1	3	3
121	4	7	1.97071129707113	4	0.581776770440341	-2.552972737	öden	0.45339021	0.6931472	14.315436	0.25	-2.55297274	4.610621	5.56381636157317	0.344430885517	196.617105931	1.52062760908	196.617105931	1.34114541421	196.617105931	1.00483182138	196.617105931	0.65707823428	197.139065809	0.464944213701	197.139065809	0.485822968505	197.139065809	0.460859782924	394.085139536	0.144281248659	445.085139536	2.84047002106784	8.49699788202195e-05	0.100216116943019	6.09826558866598	0.894620691127332	1	5	2	2	3
121	5	7	2.10674157303371	4	3.89769250540602	0.212441256	sich	3.8809747	0.6931472	12.620118	0.25	0.21244126	15.209067	9.80672468747198	1.54820654032	145.617105931	1.03350353003	145.617105931	1.05484152515	145.617105931	0.928869776897	196.617105931	0.978873504394	196.617105931	0.857912527801	196.617105931	0.685332855835	196.617105931	0.27301745814	464.806601838	0.27618761577	706.047088497	7602.8198511675	0.227431177564333	0.857839904368684	6.55968193285688	0.962310856918848	4	5	3	2	3
121	6	7	5.10030395136778	11	1.46928875786996	-0.212441256	gegenseitig	1.3977958	7.1936858	11.002133	0.09090909	-0.21244126	5.159996	6.69130904876268	3.03506888693	130.561438751	1.80028417479	145.617105931	1.78966514644	196.617105931	1.69342546228	196.617105931	1.70440408235	196.617105931	1.72143990452	196.617105931	1.74522851326	196.617105931	1.53796103782	353.277444503	1.16158318138	493.595036887	24.9917000596224	0.000747603111103798	0.308964914251811	6.20171541761153	0.909796868045615	2	5	4	1	3
121	7	7	1.20779220779221	3	3.67302182919688	1.211771184	an	NA	NA	NA	NA	NA	NA	2.31251972040338	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	NA
122	1	10	2.12648221343874	3	1.23534661115615	-2.552972737	Sei	NA	NA	NA	NA	NA	NA	14.0158826566765	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA
122	10	10	2.43956043956044	7	0.0426558278367367	-1.862855675	Regals	NA	NA	NA	NA	NA	NA	1.19635377329604	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
122	2	10	1.27868852459016	2	3.53909994667891	-1.654055207	so	3.3819792	3.0445224	5.398163	0.5	-1.65405521	4.242096	6.02316185829909	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	2409.79001199432	0.0720865929799029	0.747543320368689	5.2812582127327	0.77476502189049	4	5	1	2	1
122	3	10	1.12209302325581	3	2.63240363477332	-0.52604491	gut	2.6301817	8.5510147	13.067903	0.33333333	-0.52604491	9.077701	1.41930578948472	1.93258492534	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	0	196.617105931	426.758028357341	0.0127660634901719	0.581368082095527	5.2812582127327	0.77476502189049	3	2	1	2	1
122	4	10	1.76404494382022	3	4.4285899164761	0.466409872	und	4.3648511	7.4115563	11.816077	0.33333333	0.46640987	9.792072	2.10866030290911	1.99672911784	51	1.47326064298	145.617105931	0.573015083715	196.617105931	0.223835843681	196.617105931	0.0917156614834	196.617105931	0.0682368651656	344.929128334	3.20342650381e-16	395.929128334	3.20342650381e-16	395.929128334	3.20342650381e-16	395.929128334	23166.0025599907	0.692989094154058	0.964794604357391	5.98123522638411	0.877452238545981	5	2	1	1	2
122	5	10	1.4147465437788	3	0.0507064177396727	-2.552972737	miß	0.14500175	1.3862944	8.855378	0.33333333	-2.55297274	10.283644	13.3024204268232	0	395.929128334	0	395.929128334	0.103232204596	636.341101776	0.0981673453598	636.341101776	0.106449170839	636.341101776	0.129927967157	636.341101776	0.0760164192042	636.341101776	0.0452513578153	636.341101776	0	636.341101776	1.39637398776698	4.17712094426753e-05	0.0320507854259632	6.45573474311722	0.947061716753738	1	5	1	3	3
122	6	10	2.25968992248062	5	1.93589906248473	-1.862855675	bitte	1.5772022	0.6931472	9.795513	0.2	-1.86285567	8.296898	10.9762438535726	1.99830966319	167.925658896	0.924141311007	403.872287156	1.04665860626	403.872287156	1.06705423707	403.872287156	0.787809609604	403.872287156	0.487807506905	403.872287156	0.566643192524	403.872287156	0.348460192234	436.20099201	0.146682724014	487.20099201	37.7748022936699	0.0011299975451332	0.348620408274776	6.18867675253893	0.907884084912603	2	5	2	2	3
122	7	10	1.734375	3	4.47080726130185	0.154151523	die	4.4840591	5.3752784	13.279692	0.33333333	0.15415152	9.03669	1.13549741612696	1.58478505106	51	2.53189788805	218.925658896	2.25627168605	167.925658896	2.09186067943	167.925658896	2.00553372836	167.925658896	1.80920732692	218.925658896	1.44485171642	218.925658896	0.996970285387	218.925658896	0.819736733322	432.498062462	30483.0978387079	0.911873090903439	0.991144010685647	6.06957784650525	0.890412175223004	5	1	4	1	3
