sn	wn	nw	let	l	f	p	word	log_freq	bigram	pos_bigram	len	logitpred	spm	spu	sp1	rv1	sp5	rv5	sp10	rv10	sp15	rv15	sp20	rv20	sp25	rv25	sp30	rv30	sp50	rv50	sp100	rv100	freq.pm	scaled.freq	scaled.log.freq	log.rv100	scaled.log.rv100	freq.class	spu.class	sp100.class	rv1.class	rv100.class
10	6	11	2.71317829457364	6	2.15373256917238	-0.723460109	Stunde	1.9706193	6.916715	15.822097	0.16666667	-0.72346011	6.634453	0.78390602680031	1.5339305818	130.561438751	1.77195135473	164.098116321	1.65492853581	196.617105931	1.7901197838	196.617105931	1.72951476323	285.993387826	1.83934394172	285.993387826	1.78490043137	285.993387826	1.89211556091	285.993387826	1.4429394499	313.431620689	93.4586062296444	0.00279572596542128	0.435580235001038	5.7475812204577	0.84317499934947	2	1	4	1	1
10	7	11	3.22522522522523	6	2.43272723647008	-2.552972737	wissen	2.2928517	1.0986123	13.354391	0.16666667	-2.55297274	6.586956	4.94333700619517	4.49990569148	144.770527098	1.76548121315	145.617105931	1.58325300968	196.617105931	1.44050823346	196.617105931	1.41425239848	196.617105931	1.42670234206	196.617105931	1.4081470148	196.617105931	1.36468580657	196.617105931	1.66650118871	196.617105931	196.268995604205	0.00587120169403706	0.506805592692881	5.2812582127327	0.77476502189049	3	5	4	2	1
10	8	11	3.58050847457627	7	2.46040466114009	-0.642009139	sollen	2.6898858	3.7135721	12.268371	0.14285714	-0.64200914	5.421924	2.37402259959752	0.7865012	146.1171	0.65858185	361.88254	0.49842066	438.2051	0.47830713	463.7051	0.45281944	463.7051	0.46502846	463.7051	0.45380718	463.7051	0.42159602	463.7051	0.31493312	463.7051	489.650046403917	0.0146474188298664	0.594564911086558	6.13924878982734	0.900632961208799	3	3	3	2	3
10	9	11	1.40217391304348	2	2.73316113929413	-1.641701121	ob	2.6526514	3.5553481	6.751101	0.5	-1.64170112	6.645642	2.49562969299835	1.96172251682	51	2.68029511669	155.606507256	1.4624793447	196.617105931	1.09468790843	196.617105931	1.20333571941	196.617105931	1.13496297793	196.617105931	1.18670645513	196.617105931	1.07772570741	196.617105931	1.04788332143	196.617105931	449.418969933236	0.0134439441618454	0.586334722382873	5.2812582127327	0.77476502189049	3	3	4	1	1
100	1	7	2.17209302325581	3	3.6967764986441	-0.939385947	Die	NA	NA	NA	NA	NA	NA	2.04559655167458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA
100	2	7	3.39910313901345	7	2.13797092841552	-2.203367721	meisten	2.2901192	7.7075122	11.624422	0.14285714	-2.20336772	6.61735	5.02371695339097	1.99033136802	51	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	3.20342650381e-16	196.617105931	195.037984343495	0.00583437715444534	0.506201608456991	5.2812582127327	0.77476502189049	3	5	1	1	1
100	3	7	2.98324022346369	6	2.41449368889369	-1.119020658	Kinder	2.4994589	3.9702919	12.802111	0.16666667	-1.11902066	9.256233	2.41534384252512	2.47598118143	395.929128334	1.03936718436	196.617105931	0.166150510989	395.929128334	0.098999320148	395.929128334	0.098999320148	395.929128334	0.098999320148	395.929128334	0.0374434424901	395.929128334	0	395.929128334	0	395.929128334	315.834014082125	0.00944787633321834	0.552473476250555	5.98123522638411	0.877452238545981	3	3	1	3	2
100	4	7	2.57603686635945	5	2.41635254620127	-1.119020658	gehen	2.3903238	3.0910425	14.315436	0.2	-1.11902066	6.498005	2.11720209690261	0.344430885517	196.617105931	1.52986819099	196.617105931	1.43158595103	196.617105931	1.00867818936	196.617105931	0.683927734035	196.617105931	0.486999461178	196.617105931	0.497930480116	196.617105931	0.395167788814	344.929128334	0.112939877781	395.929128334	245.653977276233	0.00734850679339934	0.528350555854484	5.98123522638411	0.877452238545981	3	2	2	2	2
100	5	7	2.65625	5	1.64146320342809	-0.993936833	gerne	1.885045	1.3862944	12.925034	0.2	-0.99393683	9.881736	3.80666064651868	1.1361472271	145.617105931	0.786637086296	145.617105931	0.78417590706	145.617105931	0.832149834429	145.617105931	0.888908917078	196.617105931	0.825889445729	301.431851041	0.756429612639	354.579784161	0.505791628948	378.297861383	0.450385286246	378.297861383	76.7441004661975	0.00229572730668642	0.416665128615929	5.93568187839276	0.870769524080589	2	4	3	2	2
100	6	7	1.76774193548387	3	3.31232971374073	-0.607221097	zur	3.3084129	3.2958369	11.955352	0.33333333	-0.6072211	4.852871	2.49770014928305	2.99562176344	130.561438751	1.63880852385	145.617105931	2.08722658218	196.617105931	1.55019132638	196.617105931	1.59616480138	196.617105931	1.67661050906	196.617105931	1.57150567059	196.617105931	1.29183474454	196.617105931	1.00633217936	196.617105931	2034.29016754249	0.060853869665304	0.731282429063019	5.2812582127327	0.77476502189049	4	3	4	1	1
