"cycle" "score" "enc.fact" "enc.exp" "preptime"
"1" 0 NA 0.004 0.4 0.13
"1" 1 0.552998109928388 0.004 0.4 0.13
"1" 2 0.685177775643983 0.005 0.4 0.13
"1" 3 0.464240334074265 0.003 0.4 0.13
"1" 4 0.665555308540809 0.004 0.5 0.13
"1" 5 0.518328407580055 0.004 0.3 0.13
"1" 6 0.546595529624667 0.004 0.4 0.135
"1" 7 0.679777007793939 0.004 0.4 0.12
"1" 8 0.351405212259767 0.002 0.3 0.135
"1" 9 0.387576142530979 0.003 0.3 0.135
"1" 10 0.394461640191596 0.002 0.3 0.135
"1" 11 0.306073402665476 0.002 0.4 0.135
"1" 12 0.396527063493901 0.002 0.3 0.135
"1" 13 0.344252313363047 0.002 0.3 0.135
"1" 14 0.373530853741686 0.002 0.3 0.125
"1" 15 0.328546219504967 0.00206051246053398 0.36156563376907 0.135
"1" 16 0.377422068508218 0.00306051246053398 0.36156563376907 0.135
"1" 17 0.311896968209137 0.002 0.36156563376907 0.135
"1" 18 0.360127080092458 0.00206051246053398 0.46156563376907 0.135
"1" 19 0.358860129922743 0.00206051246053398 0.3 0.135
"1" 20 0.330944733995599 0.00206051246053398 0.36156563376907 0.135
"1" 21 0.387062366731284 0.00206051246053398 0.36156563376907 0.125
"1" 22 0.348337283881355 0.002 0.365178729728719 0.135
"1" 23 0.347178710611208 0.003 0.365178729728719 0.135
"1" 24 0.300623060625086 0.002 0.365178729728719 0.135
"1" 25 0.336458393592891 0.002 0.465178729728719 0.135
"1" 26 0.395989864665946 0.002 0.3 0.135
"1" 27 0.361028003401495 0.002 0.365178729728719 0.135
"1" 28 0.377598529009429 0.002 0.365178729728719 0.125
"1" 29 0.28750703633938 0.00205888545175104 0.36166277969254 0.135
"1" 30 0.440035412421405 0.00305888545175104 0.36166277969254 0.135
"1" 31 0.340612015410312 0.002 0.36166277969254 0.135
"1" 32 0.34271737699854 0.00205888545175104 0.46166277969254 0.135
"1" 33 0.317994869393375 0.00205888545175104 0.3 0.135
"1" 34 0.303861042703405 0.00205888545175104 0.36166277969254 0.135
"1" 35 0.403069060500173 0.00205888545175104 0.36166277969254 0.125
"1" 36 0.44189661114468 0.00202944272587552 0.363420754710629 0.135
"1" 37 0.366454876812491 0.00302944272587552 0.363420754710629 0.135
"1" 38 0.350236767369817 0.002 0.363420754710629 0.135
"1" 39 0.361575634754284 0.00202944272587552 0.463420754710629 0.135
"1" 40 0.354844578928797 0.00202944272587552 0.3 0.135
"1" 41 0.307986230806644 0.00202944272587552 0.363420754710629 0.135
"1" 42 0.403163755343792 0.00202944272587552 0.363420754710629 0.125
"1" 43 0.310427701660122 0.00205880683126037 0.361667473988139 0.135
"1" 44 0.386012762803358 0.00305880683126037 0.361667473988139 0.135
"1" 45 0.355394700731917 0.002 0.361667473988139 0.135
"1" 46 0.347884622394842 0.00205880683126037 0.461667473988139 0.135
"1" 47 0.381687571463343 0.00205880683126037 0.3 0.135
"1" 48 0.323241376268108 0.00205880683126037 0.361667473988139 0.135
"1" 49 0.444879225064993 0.00205880683126037 0.361667473988139 0.125
"1" 50 0.39642026393628 0.002 0.370184571952304 0.135
"1" 51 0.410203335932346 0.003 0.370184571952304 0.135
"1" 52 0.392035649355937 0.002 0.370184571952304 0.135
"1" 53 0.352663575970032 0.002 0.470184571952304 0.135
"1" 54 0.376183953258006 0.002 0.3 0.135
"1" 55 0.394696274430076 0.002 0.370184571952304 0.135
"1" 56 0.379894588571577 0.002 0.370184571952304 0.125
"1" 57 0.33261180125104 0.00205842118721664 0.361723327500891 0.135
"1" 58 0.406581298986434 0.00305842118721664 0.361723327500891 0.135
"1" 59 0.360827190722244 0.002 0.361723327500891 0.135
"1" 60 0.328201512468166 0.00205842118721664 0.461723327500891 0.135
"1" 61 0.341447103437779 0.00205842118721664 0.3 0.135
"1" 62 0.362540010771738 0.00205842118721664 0.361723327500891 0.135
"1" 63 0.395433108198047 0.00205842118721664 0.361723327500891 0.125
"1" 64 0.329677061288166 0.00205880676516939 0.361667483560212 0.135
"1" 65 0.38058487499755 0.00305880676516939 0.361667483560212 0.135
"1" 66 0.459376491074723 0.002 0.361667483560212 0.135
"1" 67 0.346564377103725 0.00205880676516939 0.461667483560212 0.135
"1" 68 0.400369440437105 0.00205880676516939 0.3 0.135
"1" 69 0.334197714087041 0.00205880676516939 0.361667483560212 0.135
"1" 70 0.405061922988164 0.00205880676516939 0.361667483560212 0.125
"1" 71 0.318561473883754 0.00205880683126036 0.361667473988139 0.135
"1" 72 0.367508834686321 0.00305880683126036 0.361667473988139 0.135
"1" 73 0.312413681331873 0.002 0.361667473988139 0.135
"1" 74 0.336257883669096 0.00205880683126036 0.461667473988139 0.135
"1" 75 0.317164307483607 0.00205880683126036 0.3 0.135
"1" 76 0.328625498887113 0.00205880683126036 0.361667473988139 0.135
"1" 77 0.380173249398522 0.00205880683126036 0.361667473988139 0.125
"1" 78 0.277325277929896 0.00205880683126037 0.361667473988139 0.135
"1" 79 0.384055661555439 0.00305880683126037 0.361667473988139 0.135
"1" 80 0.315875816552262 0.002 0.361667473988139 0.135
"1" 81 0.324775554394612 0.00205880683126037 0.461667473988139 0.135
"1" 82 0.368176461652754 0.00205880683126037 0.3 0.135
"1" 83 0.302885980155311 0.00205880683126037 0.361667473988139 0.135
"1" 84 0.409574866021685 0.00205880683126037 0.361667473988139 0.125
"1" 85 0.294066588743033 0.00205880683126037 0.361667473988139 0.135
"1" 86 0.438089210293044 0.00305880683126037 0.361667473988139 0.135
"1" 87 0.328019685490247 0.002 0.361667473988139 0.135
"1" 88 0.316482780836971 0.00205880683126037 0.461667473988139 0.135
"1" 89 0.404921738724485 0.00205880683126037 0.3 0.135
"1" 90 0.353745205375737 0.00205880683126037 0.361667473988139 0.135
"1" 91 0.454350867521358 0.00205880683126037 0.361667473988139 0.125
"1" 92 0.331444526310747 0.00205880683126037 0.361667473988139 0.135
"1" 93 0.351517452613257 0.00305880683126037 0.361667473988139 0.135
"1" 94 0.343752212571485 0.002 0.361667473988139 0.135
"1" 95 0.319736966120673 0.00205880683126037 0.461667473988139 0.135
"1" 96 0.388354729802221 0.00205880683126037 0.3 0.135
"1" 97 0.370059883212148 0.00205880683126037 0.361667473988139 0.135
"1" 98 0.382179455898229 0.00205880683126037 0.361667473988139 0.125
"1" 0 0.277325277929896 0.00205880683126037 0.361667473988139 0.135
