"item" "roi" "word" "frequency" "freq.class" "len" "predictability" "target"
14 1 "mark" 83 2 4 0 "0"
14 2 "put" 438 3 3 0 "0"
14 3 "too" 834 3 3 0 "0"
14 4 "much" 937 3 4 0.68 "0"
14 5 "soap" 22 2 4 0 "0"
14 6 "in" 21335 5 2 0.42 "0"
14 7 "the" 69974 5 3 0.79 "0"
14 8 "washing" 44 2 7 0.26 "1"
14 9 "machine" 103 3 7 0.89 "0"
14 10 "and" 69974 5 3 0.68 "0"
14 11 "it" 8761 4 2 0.58 "0"
14 12 "overflowed" 2 1 10 0.69 "0"
15 1 "the" 69974 5 3 0 "0"
15 2 "circus" 7 1 6 0 "0"
15 3 "tents" 10 1 5 0 "0"
15 4 "were" 3286 4 4 0.7 "0"
15 5 "crowded" 32 2 7 0 "0"
15 6 "with" 7289 4 4 0.85 "1"
15 7 "animals" 58 2 7 0.1 "0"
15 8 "clowns" 2 1 6 0.35 "0"
15 9 "and" 28850 5 3 0.85 "0"
15 10 "children" 355 3 8 0.2 "0"
16 1 "the" 69974 5 3 0 "0"
16 2 "bear" 57 2 4 0 "0"
16 3 "chased" 1 1 6 0 "0"
16 4 "after" 1068 4 5 0.05 "0"
16 5 "the" 69974 5 3 0.8 "1"
16 6 "forest" 66 2 6 0 "0"
16 7 "ranger" 2 1 6 0.7 "0"
16 8 "who" 2252 4 3 0.05 "0"
16 9 "was" 9816 4 3 0.2 "0"
16 10 "carrying" 71 2 8 0 "0"
16 11 "honey" 24 2 5 0 "0"
17 1 "the" 69974 5 3 0 "0"
17 2 "best" 351 3 4 0 "0"
17 3 "place" 570 3 5 0 "0"
17 4 "that" 10593 5 4 0 "0"
17 5 "serves" 37 2 6 0.05 "1"
17 6 "coffee" 78 2 6 0.15 "0"
17 7 "and" 28850 5 3 0.2 "0"
17 8 "muffins" 1 1 7 0 "0"
17 9 "is" 10109 5 2 0.8 "0"
17 10 "dunkin" 1 1 6 0 "0"
17 11 "donuts" 1 1 6 1 "0"
18 1 "mr" 845 3 2 0 "0"
18 2 "jones" 72 2 5 0.3 "0"
18 3 "asked" 398 3 5 0 "0"
18 4 "his" 6994 4 3 0.15 "0"
18 5 "son" 165 3 3 0.05 "0"
18 6 "to" 26155 5 2 0.5 "0"
18 7 "water" 445 3 5 0 "0"
18 8 "the" 69974 5 3 0.95 "1"
18 9 "plants" 59 2 6 0.3 "0"
18 10 "and" 28850 5 3 0.5 "0"
18 11 "mow" 1 1 3 0.1 "0"
18 12 "the" 69974 5 3 1 "0"
18 13 "lawn" 15 2 4 0.95 "0"
19 1 "the" 69974 5 3 0 "0"
19 2 "brides" 5 1 6 0 "1"
19 3 "mother" 216 3 6 0.1 "0"
19 4 "cried" 30 2 5 0.05 "0"
19 5 "during" 585 3 6 0.05 "0"
19 6 "the" 69974 5 3 1 "0"
19 7 "entire" 32 2 7 0.45 "0"
19 8 "wedding" 18 2 8 0.65 "0"
20 1 "the" 69974 5 3 0 "0"
20 2 "drunk" 36 2 5 0 "0"
20 3 "driver" 49 2 6 0 "0"
20 4 "lost" 173 3 4 0 "0"
20 5 "control" 223 3 7 0.4 "0"
20 6 "crashed" 12 2 7 0.05 "0"
20 7 "into" 1789 4 4 0.4 "0"
20 8 "a" 23127 5 1 0.6 "1"
20 9 "street" 244 3 6 0 "0"
20 10 "sign" 94 2 4 0.6 "0"
20 11 "and" 28850 5 3 0.85 "0"
20 12 "died" 86 2 4 0.7 "0"
21 1 "mary" 87 2 4 0 "0"
21 2 "was" 9816 4 3 0.15 "0"
21 3 "the" 69974 5 3 0.05 "0"
21 4 "only" 1748 4 4 0.3 "0"
21 5 "teenager" 4 1 8 0 "0"
21 6 "who" 2252 4 3 0.5 "0"
21 7 "attended" 36 2 8 0 "0"
21 8 "the" 69974 5 3 0.8 "1"
21 9 "square" 143 3 6 0 "0"
21 10 "dance" 90 2 5 0.85 "0"
21 11 "in" 21335 5 2 0 "0"
21 12 "town" 212 3 4 0 "0"
22 1 "the" 69974 5 3 0 "0"
22 2 "burglar" 1 1 7 0 "0"
22 3 "broke" 67 2 5 0.15 "0"
22 4 "the" 69974 5 3 0.15 "1"
22 5 "window" 119 3 6 0.45 "0"
22 6 "and" 28850 5 3 0.35 "0"
22 7 "quietly" 49 2 7 0 "0"
22 8 "sneaked" 6 1 7 0.05 "0"
22 9 "into" 1789 4 4 0.8 "0"
22 10 "the" 69974 5 3 0.95 "0"
22 11 "house" 591 3 5 0.85 "0"
23 1 "jimmy" 11 2 5 0 "0"
23 2 "was" 9816 4 3 0 "0"
23 3 "sent" 145 3 4 0 "0"
23 4 "to" 26155 5 2 0.8 "0"
23 5 "the" 69974 5 3 0.45 "0"
23 6 "principals" 1 1 10 0.4 "1"
23 7 "office" 255 3 6 1 "0"
23 8 "because" 883 3 7 0.3 "0"
