"sn" "roi" "word" "frequency" "freq.class" "len" "predictability" "target" "nw"
"121" 12 3 "forbidden" 15 2 9 0 0 13
"122" 12 4 "to" 26155 5 2 0.9 0 13
"123" 12 5 "attend" 54 2 6 0 1 13
"124" 12 6 "college" 267 3 7 0 0 13
"125" 12 7 "parties" 59 2 7 0.05 0 13
"126" 12 8 "while" 680 3 5 0 0 13
"127" 12 9 "he" 9547 4 2 0.8 0 13
"128" 12 10 "was" 9816 4 3 0.85 0 13
"129" 12 11 "in" 21335 5 2 0.2 0 13
"130" 12 12 "high" 498 3 4 0.2 0 13
"131" 12 13 "school" 493 3 6 0.95 0 13
"132" 13 1 "sheri" 1 1 5 0 0 11
"133" 13 2 "and" 28850 5 3 0 0 11
"134" 13 3 "her" 3036 4 3 0.25 1 11
"135" 13 4 "friends" 161 3 7 0.35 0 11
"136" 13 5 "went" 508 3 4 0.45 0 11
"137" 13 6 "to" 26155 5 2 0.95 0 11
"138" 13 7 "hawaii" 16 2 6 0 0 11
"139" 13 8 "for" 9489 4 3 0.6 0 11
"140" 13 9 "their" 2670 4 5 0 0 11
"141" 13 10 "summer" 134 3 6 0 0 11
"142" 13 11 "vacation" 47 2 8 1 0 11
"143" 14 1 "mark" 83 2 4 0 0 12
"144" 14 2 "put" 438 3 3 0 0 12
"145" 14 3 "too" 834 3 3 0 0 12
"146" 14 4 "much" 937 3 4 0.68 0 12
"147" 14 5 "soap" 22 2 4 0 0 12
"148" 14 6 "in" 21335 5 2 0.42 0 12
"149" 14 7 "the" 69974 5 3 0.79 0 12
"150" 14 8 "washing" 44 2 7 0.26 1 12
"151" 14 9 "machine" 103 3 7 0.89 0 12
"152" 14 10 "and" 69974 5 3 0.68 0 12
"153" 14 11 "it" 8761 4 2 0.58 0 12
"154" 14 12 "overflowed" 2 1 10 0.69 0 12
"155" 15 1 "the" 69974 5 3 0 0 10
"156" 15 2 "circus" 7 1 6 0 0 10
"157" 15 3 "tents" 10 1 5 0 0 10
"158" 15 4 "were" 3286 4 4 0.7 0 10
"159" 15 5 "crowded" 32 2 7 0 0 10
"160" 15 6 "with" 7289 4 4 0.85 1 10
"161" 15 7 "animals" 58 2 7 0.1 0 10
"162" 15 8 "clowns" 2 1 6 0.35 0 10
"163" 15 9 "and" 28850 5 3 0.85 0 10
"164" 15 10 "children" 355 3 8 0.2 0 10
"165" 16 1 "the" 69974 5 3 0 0 11
"166" 16 2 "bear" 57 2 4 0 0 11
"167" 16 3 "chased" 1 1 6 0 0 11
"168" 16 4 "after" 1068 4 5 0.05 0 11
"169" 16 5 "the" 69974 5 3 0.8 1 11
"170" 16 6 "forest" 66 2 6 0 0 11
"171" 16 7 "ranger" 2 1 6 0.7 0 11
"172" 16 8 "who" 2252 4 3 0.05 0 11
"173" 16 9 "was" 9816 4 3 0.2 0 11
"174" 16 10 "carrying" 71 2 8 0 0 11
"175" 16 11 "honey" 24 2 5 0 0 11
"176" 17 1 "the" 69974 5 3 0 0 11
"177" 17 2 "best" 351 3 4 0 0 11
"178" 17 3 "place" 570 3 5 0 0 11
"179" 17 4 "that" 10593 5 4 0 0 11
"180" 17 5 "serves" 37 2 6 0.05 1 11
"181" 17 6 "coffee" 78 2 6 0.15 0 11
